current_number,current_name,current_family,disposition,final_name,final_channel_key,old_count,note
287,Kayla Kayden Presents: Questionable Decisions,performer_spotlight,replace,Cumshot - face,jw:v1:tag:7986,42,"slot repurposed: canonical ACT tag, 6964 scenes"
288,Nancy Ace: Main Character Hours,performer_spotlight,replace,Cumshot - body,jw:v1:tag:7988,42,"slot repurposed: canonical ACT tag, 2492 scenes"
289,Tony Rubino: The Binge Committee,performer_spotlight,replace,Cumshot - internal,jw:v1:tag:7989,42,"slot repurposed: canonical ACT tag, 1694 scenes"
290,Lilla Katt: The Skip Intro Department,performer_spotlight,replace,DP,jw:v1:tag:7990,41,"slot repurposed: canonical ACT tag, 578 scenes"
291,Tana Lea: No Meeting Could Replace This,performer_spotlight,replace,Sex toys,jw:v1:tag:7991,41,"slot repurposed: canonical ACT tag, 2121 scenes"
292,Anikka Albrite: The Unscheduled Special,performer_spotlight,replace,Grinding,jw:v1:tag:7992,40,"slot repurposed: canonical ACT tag, 475 scenes"
293,Jovan Jordan: Cancel Your Plans,performer_spotlight,replace,Ass-to-mouth,jw:v1:tag:7993,40,"slot repurposed: canonical ACT tag, 2090 scenes"
294,Little Puck: The Remote Majority,performer_spotlight,replace,Fisting,jw:v1:tag:7994,40,"slot repurposed: canonical ACT tag, 174 scenes"
295,Maestro Stefanos: Premium Procrastination,performer_spotlight,replace,Small ass,jw:v1:tag:7996,40,"slot repurposed: canonical BODY tag, 1457 scenes"
296,Alina Li: Doing the Most,performer_spotlight,replace,Medium ass,jw:v1:tag:7997,39,"slot repurposed: canonical BODY tag, 2496 scenes"
297,Athena Anderson: The Late Fee Channel,performer_spotlight,replace,Curvy,jw:v1:tag:7998,40,"slot repurposed: canonical BODY tag, 1143 scenes"
298,Kimmy Granger: Zero Inbox Energy,performer_spotlight,replace,Hairy,jw:v1:tag:8001,39,"slot repurposed: canonical BODY tag, 1919 scenes"
299,Monique Alexander: Please Remain Tuned,performer_spotlight,replace,Big breasts,jw:v1:tag:8003,39,"slot repurposed: canonical BODY tag, 5279 scenes"
300,Aidra Fox: The Extended Lunch Break,performer_spotlight,replace,Small breasts,jw:v1:tag:8004,38,"slot repurposed: canonical BODY tag, 3027 scenes"
301,Jack Hammer: Not in the Employee Handbook,performer_spotlight,replace,Medium breasts,jw:v1:tag:8005,38,"slot repurposed: canonical BODY tag, 1571 scenes"
302,Keisha Grey: Plot Armor Included,performer_spotlight,replace,Augmented breasts,jw:v1:tag:8006,38,"slot repurposed: canonical BODY tag, 2833 scenes"
303,Kristina Grace: The Agenda Has Changed,performer_spotlight,replace,Muscular,jw:v1:tag:8015,38,"slot repurposed: canonical BODY tag, 1402 scenes"
304,Penny Pax: One More Episode,performer_spotlight,replace,Big dick,jw:v1:tag:8016,38,"slot repurposed: canonical BODY tag, 5932 scenes"
305,Ricky Spanish: The Not-So-Silent Partner,performer_spotlight,replace,Uncircumcised,jw:v1:tag:8017,38,"slot repurposed: canonical BODY tag, 1175 scenes"
306,Ana Foxxx: After the Group Chat,performer_spotlight,replace,Average body,jw:v1:tag:8019,37,"slot repurposed: canonical BODY tag, 1707 scenes"
307,Cherry Kiss: This Meeting Runs Late,performer_spotlight,replace,Step-family,jw:v1:tag:8022,37,"slot repurposed: canonical THEME tag, 703 scenes"
308,Chloe Amour: The Recommendation Engine,performer_spotlight,replace,Taboo,jw:v1:tag:8023,37,"slot repurposed: canonical THEME tag, 406 scenes"
309,Fiona Frost: Airplane Mode Recommended,performer_spotlight,replace,Exhibitionism,jw:v1:tag:8025,37,"slot repurposed: canonical THEME tag, 367 scenes"
310,GI Joey: The Couch Has Questions,performer_spotlight,replace,First time,jw:v1:tag:8029,37,"slot repurposed: canonical THEME tag, 472 scenes"
311,Hollywood Cash: Nothing on the Calendar,performer_spotlight,replace,Older/younger,jw:v1:tag:8031,37,"slot repurposed: canonical THEME tag, 383 scenes"
312,Jade Maris: The Ratings Department,performer_spotlight,replace,Holiday/seasonal,jw:v1:tag:8032,37,"slot repurposed: canonical THEME tag, 227 scenes"
313,Jane Wilde: Full-Time Distraction,performer_spotlight,replace,Freeuse,jw:v1:tag:8033,37,"slot repurposed: canonical THEME tag, 38 scenes"
314,Jillian Janson: Nobody Read the Memo,performer_spotlight,replace,Reluctance,jw:v1:tag:8034,37,"slot repurposed: canonical THEME tag, 160 scenes"
315,Dorian Del Isla: The Opening Credits Club,performer_spotlight,replace,Swingers,jw:v1:tag:8035,36,"slot repurposed: canonical THEME tag, 129 scenes"
316,Juan El Caballo Loco Has the Remote,performer_spotlight,replace,Office,jw:v1:tag:8041,36,"slot repurposed: canonical SET tag, 177 scenes"
317,Lexington Steele: HR Would Like a Word,performer_spotlight,replace,Gym,jw:v1:tag:8045,36,"slot repurposed: canonical SET tag, 103 scenes"
318,Liz Jordan vs. the Bedtime Schedule,performer_spotlight,replace,Club/bar,jw:v1:tag:8046,36,"slot repurposed: canonical SET tag, 54 scenes"
319,Mandingo: The Plot Thickens,performer_spotlight,replace,Dungeon,jw:v1:tag:8047,36,"slot repurposed: canonical SET tag, 111 scenes"
320,Max Dyor & the Missing Script,performer_spotlight,replace,School,jw:v1:tag:8049,36,"slot repurposed: canonical SET tag, 89 scenes"
321,Pablo Ferrari: Do Not Auto-Play at Work,performer_spotlight,replace,Pantyhose,jw:v1:tag:8054,36,"slot repurposed: canonical WARD tag, 125 scenes"
322,Stella Sedona: Overtime Approved,performer_spotlight,replace,Bikini,jw:v1:tag:8057,36,"slot repurposed: canonical WARD tag, 397 scenes"
323,Vanna Bardot Presents: Questionable Decisions,performer_spotlight,replace,Uniform,jw:v1:tag:8058,36,"slot repurposed: canonical WARD tag, 371 scenes"
324,Veronica Avluv: Main Character Hours,performer_spotlight,replace,Latex/leather,jw:v1:tag:8059,36,"slot repurposed: canonical WARD tag, 519 scenes"
325,Alexis Tae: The Binge Committee,performer_spotlight,replace,Glasses,jw:v1:tag:8060,35,"slot repurposed: canonical WARD tag, 437 scenes"
326,Anna Claire Clouds: The Skip Intro Department,performer_spotlight,replace,Barefoot,jw:v1:tag:8061,35,"slot repurposed: canonical WARD tag, 475 scenes"
327,Beretta James: No Meeting Could Replace This,performer_spotlight,replace,Casual,jw:v1:tag:8062,35,"slot repurposed: canonical WARD tag, 2450 scenes"
328,Blake Blossom: The Unscheduled Special,performer_spotlight,replace,Business,jw:v1:tag:8063,36,"slot repurposed: canonical WARD tag, 325 scenes"
329,Brock Cooper: Cancel Your Plans,performer_spotlight,replace,Jewelry,jw:v1:tag:8064,35,"slot repurposed: canonical WARD tag, 630 scenes"
330,Lauren Phillips: The Remote Majority,performer_spotlight,replace,Choking/breath,jw:v1:tag:8069,35,"slot repurposed: canonical KINK tag, 542 scenes"
331,Matthew Meier: Premium Procrastination,performer_spotlight,replace,Nipple torment,jw:v1:tag:8071,35,"slot repurposed: canonical KINK tag, 273 scenes"
332,Ricky Rascal: Doing the Most,performer_spotlight,replace,Electro play,jw:v1:tag:8072,35,"slot repurposed: canonical KINK tag, 193 scenes"
333,Rob Piper: The Late Fee Channel,performer_spotlight,replace,Pegging,jw:v1:tag:8075,35,"slot repurposed: canonical KINK tag, 352 scenes"
334,Sparky Sin Claire: Zero Inbox Energy,performer_spotlight,replace,CBT,jw:v1:tag:8076,36,"slot repurposed: canonical KINK tag, 359 scenes"
335,Ken Feels: Please Remain Tuned,performer_spotlight,replace,Wax/temperature,jw:v1:tag:8077,34,"slot repurposed: canonical KINK tag, 45 scenes"
336,Lawson Jones: The Extended Lunch Break,performer_spotlight,replace,Watersports,jw:v1:tag:8078,34,"slot repurposed: canonical KINK tag, 94 scenes"
337,Lily Love: Not in the Employee Handbook,performer_spotlight,replace,Large insertion,jw:v1:tag:8079,34,"slot repurposed: canonical KINK tag, 108 scenes"
338,Luke Longly: Plot Armor Included,performer_spotlight,replace,Sensory deprivation,jw:v1:tag:8080,34,"slot repurposed: canonical KINK tag, 363 scenes"
339,Syren De Mer: The Agenda Has Changed,performer_spotlight,replace,Pet play,jw:v1:tag:8082,34,"slot repurposed: canonical KINK tag, 33 scenes"
340,Tina Kay: One More Episode,performer_spotlight,replace,Gonzo,jw:v1:tag:8083,34,"slot repurposed: canonical PROD tag, 6510 scenes"
341,Ava Addams: The Not-So-Silent Partner,performer_spotlight,replace,Compilation,jw:v1:tag:8087,33,"slot repurposed: canonical PROD tag, 77 scenes"
342,Jenaveve Jolie: After the Group Chat,performer_spotlight,replace,Reality,jw:v1:tag:8089,33,"slot repurposed: canonical PROD tag, 397 scenes"
343,Matt Williams: This Meeting Runs Late,performer_spotlight,replace,Bukkake,jw:v1:tag:8668,33,"slot repurposed: canonical ACT tag, 277 scenes"
344,Reagan Foxx: The Recommendation Engine,performer_spotlight,replace,Oiled,jw:v1:tag:8669,33,"slot repurposed: canonical BODY tag, 1041 scenes"
345,Scarlit Scandal: Airplane Mode Recommended,performer_spotlight,replace,Sci-fi/Fantasy,jw:v1:tag:9575,33,"slot repurposed: canonical THEME tag, 43 scenes"
346,Stirling Cooper: The Couch Has Questions,performer_spotlight,replace,Wedding,jw:v1:tag:9576,33,"slot repurposed: canonical THEME tag, 34 scenes"
347,Vina Sky: Nothing on the Calendar,performer_spotlight,replace,Medical,jw:v1:tag:9580,33,"slot repurposed: canonical KINK tag, 58 scenes"
348,Angelo Godshack: The Ratings Department,performer_spotlight,replace,Rough sex,jw:v1:tag:9581,32,"slot repurposed: canonical KINK tag, 99 scenes"
349,Bella Angel: Full-Time Distraction,performer_spotlight,replace,Softcore,jw:v1:tag:9583,32,"slot repurposed: canonical PROD tag, 27 scenes"
350,Elsa Jean: Nobody Read the Memo,performer_spotlight,replace,Roleplay (no Narrative),jw:v1:taginex:8026:ex8085,32,slot repurposed: locked subtraction channel: THEME: Roleplay minus Narrative
351,Jessa Rhodes: The Opening Credits Club,performer_spotlight,replace,Spanking/impact (no Gonzo),jw:v1:taginex:8066:ex8083,32,slot repurposed: locked subtraction channel: KINK: Spanking/impact minus Gonzo
352,Juan Lucho Has the Remote,performer_spotlight,replace,Gonzo (no 1M1F),jw:v1:taginex:8083:ex7876,32,slot repurposed: locked subtraction channel: PROD: Gonzo minus 1M1F
353,Kenzie Anne: HR Would Like a Word,performer_spotlight,replace,Narrative (no Gonzo),jw:v1:taginex:8085:ex8083,32,slot repurposed: locked subtraction channel: PROD: Narrative minus Gonzo
354,Leah Gotti vs. the Bedtime Schedule,performer_spotlight,replace,Breast play + Living room,jw:v1:tagpair:8039:10210,32,"slot repurposed: two-tag concept, captures 23% of smaller parent, lift 3.6"
355,Mona Wales: The Plot Thickens,performer_spotlight,replace,Married IRL + 1M2F,jw:v1:tagpair:4721:7882,32,"slot repurposed: two-tag concept, captures 28% of smaller parent, lift 1.49"
356,Richie Calhoun & the Missing Script,performer_spotlight,replace,Group + Orgy,jw:v1:tagpair:6188:10214,32,"slot repurposed: two-tag concept, captures 61% of smaller parent, lift 9.75"
357,Skin Diamond: Do Not Auto-Play at Work,performer_spotlight,replace,1M2F + Facesitting,jw:v1:tagpair:7882:10211,32,"slot repurposed: two-tag concept, captures 29% of smaller parent, lift 3.08"
358,Adria Rae: Overtime Approved,performer_spotlight,replace,Vaginal sex + Casual,jw:v1:tagpair:7975:8062,31,"slot repurposed: two-tag concept, captures 45% of smaller parent, lift 2.62"
359,Chris Johnson Presents: Questionable Decisions,performer_spotlight,replace,Fingering + Married IRL,jw:v1:tagpair:4721:7981,31,"slot repurposed: two-tag concept, captures 21% of smaller parent, lift 0.96"
360,Evelin Stone: Main Character Hours,performer_spotlight,replace,Fingering + Spanking/impact,jw:v1:tagpair:7981:8066,31,"slot repurposed: two-tag concept, captures 41% of smaller parent, lift 1.91"
361,Levi Cash: The Binge Committee,performer_spotlight,replace,Kissing + 1M2F,jw:v1:tagpair:7882:7984,31,"slot repurposed: two-tag concept, captures 35% of smaller parent, lift 2.77"
362,Lucy Li: The Skip Intro Department,performer_spotlight,replace,Kissing + Medium breasts,jw:v1:tagpair:7984:8005,31,"slot repurposed: two-tag concept, captures 39% of smaller parent, lift 3.14"
363,Lulu Chu: No Meeting Could Replace This,performer_spotlight,replace,Cumshot - internal + Taboo,jw:v1:tagpair:7989:8023,31,"slot repurposed: two-tag concept, captures 27% of smaller parent, lift 3.22"
364,Mandy Flores: The Unscheduled Special,performer_spotlight,replace,Cumshot - internal + POV,jw:v1:tagpair:7989:8084,31,"slot repurposed: two-tag concept, captures 22% of smaller parent, lift 2.65"
365,Max Fills: Cancel Your Plans,performer_spotlight,replace,Small ass + Outdoor,jw:v1:tagpair:7996:8040,31,"slot repurposed: two-tag concept, captures 26% of smaller parent, lift 3.55"
366,Mitt Aziani: The Remote Majority,performer_spotlight,replace,Medium ass + Thong,jw:v1:tagpair:7997:8055,31,"slot repurposed: two-tag concept, captures 48% of smaller parent, lift 3.88"
367,Alina Lopez: Premium Procrastination,performer_spotlight,replace,Athletic + Humiliation,jw:v1:tagpair:8000:8068,30,"slot repurposed: two-tag concept, captures 43% of smaller parent, lift 3.16"
368,Bella Rossi: Doing the Most,performer_spotlight,replace,Muscular + Amateur,jw:v1:tagpair:8015:8086,30,"slot repurposed: two-tag concept, captures 24% of smaller parent, lift 3.5"
369,Canela Skin: The Late Fee Channel,performer_spotlight,replace,Average body + Outdoor,jw:v1:tagpair:8019:8040,30,"slot repurposed: two-tag concept, captures 31% of smaller parent, lift 3.73"
370,Chanel Camryn: Zero Inbox Energy,performer_spotlight,replace,Cheating + Thong,jw:v1:tagpair:8020:8055,30,"slot repurposed: two-tag concept, captures 30% of smaller parent, lift 4.28"
371,George Uhl: Please Remain Tuned,performer_spotlight,replace,Roleplay + Dom/Sub,jw:v1:tagpair:8026:8067,30,"slot repurposed: two-tag concept, captures 47% of smaller parent, lift 4.0"
372,Harmony Cage: The Extended Lunch Break,performer_spotlight,replace,Roleplay + Narrative,jw:v1:tagpair:8026:8085,30,"slot repurposed: two-tag concept, captures 74% of smaller parent, lift 6.23"
373,India Summer: Not in the Employee Handbook,performer_spotlight,replace,Bedroom + Breast play,jw:v1:tagpair:8037:10210,30,"slot repurposed: two-tag concept, captures 28% of smaller parent, lift 3.84"
374,J. Jay: Plot Armor Included,performer_spotlight,replace,Bedroom + Cheating,jw:v1:tagpair:8020:8037,30,"slot repurposed: two-tag concept, captures 25% of smaller parent, lift 3.46"
375,Marsha May: The Agenda Has Changed,performer_spotlight,replace,Lingerie + Stockings,jw:v1:tagpair:8051:8053,30,"slot repurposed: two-tag concept, captures 47% of smaller parent, lift 3.59"
380,Babes: Where the Budget Went,studio_spotlight,replace,Heels + Average body,jw:v1:tagpair:8019:8052,532,"slot repurposed: two-tag concept, captures 34% of smaller parent, lift 3.34"
398,Touch My Wife: The Late-Night Department,studio_spotlight,replace,Heels + Cheating,jw:v1:tagpair:8020:8052,188,"slot repurposed: two-tag concept, captures 34% of smaller parent, lift 3.27"
405,Penthouse Gold: Not Your Local News,studio_spotlight,replace,Dress + Bedroom,jw:v1:tagpair:8037:8056,162,"slot repurposed: two-tag concept, captures 26% of smaller parent, lift 3.52"
411,Deep Lush: The Talent Department,studio_spotlight,replace,Dress + Living room,jw:v1:tagpair:8039:8056,144,"slot repurposed: two-tag concept, captures 27% of smaller parent, lift 3.59"
413,Interracial Pass: Remote Control Issues,studio_spotlight,replace,Casual + Breast play,jw:v1:tagpair:8062:10210,140,"slot repurposed: two-tag concept, captures 45% of smaller parent, lift 3.74"
416,Dorcel Club: The Plot Factory,studio_spotlight,replace,Casual + Dress,jw:v1:tagpair:8056:8062,130,"slot repurposed: two-tag concept, captures 47% of smaller parent, lift 3.86"
426,Love Her Feet: The Unofficial Afterparty,studio_spotlight,replace,Spanking/impact + Athletic,jw:v1:tagpair:8000:8066,93,"slot repurposed: two-tag concept, captures 62% of smaller parent, lift 3.19"
433,Lethal Hardcore: Remote Control Issues,studio_spotlight,replace,Spanking/impact + Heels,jw:v1:tagpair:8052:8066,75,"slot repurposed: two-tag concept, captures 37% of smaller parent, lift 1.92"
436,She Will Cheat: The Plot Factory,studio_spotlight,replace,Dom/Sub + Group,jw:v1:tagpair:6188:8067,67,"slot repurposed: two-tag concept, captures 24% of smaller parent, lift 2.15"
444,Baby Got Boobs: The Streaming Committee,studio_spotlight,replace,Dom/Sub + Sex toys,jw:v1:tagpair:7991:8067,59,"slot repurposed: two-tag concept, captures 34% of smaller parent, lift 3.1"
445,My Sister's Hot Friend: Not Your Local News,studio_spotlight,replace,Foot fetish + Bathroom,jw:v1:tagpair:8038:8073,59,"slot repurposed: two-tag concept, captures 18% of smaller parent, lift 2.84"
446,Naughty Office: The Unofficial Afterparty,studio_spotlight,replace,Foot fetish + Barefoot,jw:v1:tagpair:8061:8073,58,"slot repurposed: two-tag concept, captures 23% of smaller parent, lift 3.59"
447,Sneaky Sex: Script Pending,studio_spotlight,replace,POV + Step-family,jw:v1:tagpair:8022:8084,57,"slot repurposed: two-tag concept, captures 21% of smaller parent, lift 3.86"
448,Lubed: Channel Surfing Hazard,studio_spotlight,replace,Amateur + Thong,jw:v1:tagpair:8055:8086,56,"slot repurposed: two-tag concept, captures 21% of smaller parent, lift 3.2"
449,"2 Drops: Prime Time, Questionable Timing",studio_spotlight,replace,1M1F + Vaginal sex + Casual,jw:v1:tagtriple:7876:7975:8062,54,"slot repurposed: locked three-tag micro-channel, <= 75% of any parent pair, 832 scenes"
450,Nuru Massage: All Hands Off the Remote,studio_spotlight,replace,1M1F + Cheating + Gonzo,jw:v1:tagtriple:7876:8020:8083,54,"slot repurposed: locked three-tag micro-channel, <= 77% of any parent pair, 842 scenes"
451,Digital Playground Episodes: The Talent Department,studio_spotlight,replace,1M1F + Roleplay + Dom/Sub,jw:v1:tagtriple:7876:8026:8067,53,"slot repurposed: locked three-tag micro-channel, <= 55% of any parent pair, 575 scenes"
452,Porn World: The Credits Can Wait,studio_spotlight,replace,Vaginal sex + Big dick + Spanking/impact,jw:v1:tagtriple:7975:8016:8066,53,"slot repurposed: locked three-tag micro-channel, <= 66% of any parent pair, 903 scenes"
453,Porn Force: Remote Control Issues,studio_spotlight,replace,Anal sex + Shaved + Humiliation,jw:v1:tagtriple:7976:8002:8068,52,"slot repurposed: locked three-tag micro-channel, <= 78% of any parent pair, 825 scenes"
455,ZZ Series: The Rerun Situation,studio_spotlight,replace,Anal sex + Roleplay + Bondage,jw:v1:tagtriple:7976:8026:8065,49,"slot repurposed: locked three-tag micro-channel, <= 80% of any parent pair, 800 scenes"
456,Submissived: The Plot Factory,studio_spotlight,replace,Blowjob + Roleplay + Narrative,jw:v1:tagtriple:7977:8026:8085,47,"slot repurposed: locked three-tag micro-channel, <= 64% of any parent pair, 694 scenes"
457,Ashlynn Brooke: Approved by Absolutely Nobody,studio_spotlight,replace,Cunnilingus + Big breasts + Cheating,jw:v1:tagtriple:7978:8003:8020,46,"slot repurposed: locked three-tag micro-channel, <= 79% of any parent pair, 656 scenes"
458,Pure Mature: The Late-Night Department,studio_spotlight,replace,Cunnilingus + Big dick + Cheating,jw:v1:tagtriple:7978:8016:8020,44,"slot repurposed: locked three-tag micro-channel, <= 77% of any parent pair, 759 scenes"
459,"Mommy Got Boobs: House Rules, House Exceptions",studio_spotlight,replace,Cunnilingus + Bedroom + Gonzo,jw:v1:tagtriple:7978:8037:8083,43,"slot repurposed: locked three-tag micro-channel, <= 74% of any parent pair, 616 scenes"
460,My Friend's Hot Mom: Where the Budget Went,studio_spotlight,replace,Fingering + Big dick + Spanking/impact,jw:v1:tagtriple:7981:8016:8066,41,"slot repurposed: locked three-tag micro-channel, <= 54% of any parent pair, 874 scenes"
462,Taboo Heat: The Never-Ending Pilot,studio_spotlight,replace,Cumshot - face + Shaved + Lingerie,jw:v1:tagtriple:7986:8002:8051,39,"slot repurposed: locked three-tag micro-channel, <= 55% of any parent pair, 773 scenes"
463,Big Butts Like It Big: Quality Time Control,studio_spotlight,replace,Cumshot - face + Big breasts + Heels,jw:v1:tagtriple:7986:8003:8052,38,"slot repurposed: locked three-tag micro-channel, <= 60% of any parent pair, 716 scenes"
464,Mean Bitches: The Streaming Committee,studio_spotlight,replace,Cumshot - face + Dress + Gonzo,jw:v1:tagtriple:7986:8056:8083,38,"slot repurposed: locked three-tag micro-channel, <= 77% of any parent pair, 737 scenes"
465,SexArt: Not Your Local News,studio_spotlight,replace,Cumshot - mouth + Casual + Gonzo,jw:v1:tagtriple:7987:8062:8083,38,"slot repurposed: locked three-tag micro-channel, <= 68% of any parent pair, 720 scenes"
466,EroticaX: The Unofficial Afterparty,studio_spotlight,replace,Fantasy Massage (Network),jw:v1:studio:1017,36,"slot repurposed: hierarchical network/studio, 67 post-JAV scenes"
467,Throated: Script Pending,studio_spotlight,replace,Penthouse,jw:v1:studio:1083,36,"slot repurposed: hierarchical network/studio, 165 post-JAV scenes"
468,Doe Projects: Channel Surfing Hazard,studio_spotlight,replace,Adult Time Originals,jw:v1:studio:1261,35,"slot repurposed: hierarchical network/studio, 411 post-JAV scenes"
469,"Housewife 1 On 1: Prime Time, Questionable Timing",studio_spotlight,replace,Full Porn Network,jw:v1:studio:1329,34,"slot repurposed: hierarchical network/studio, 105 post-JAV scenes"
470,Mom XXX: All Hands Off the Remote,studio_spotlight,replace,ExploitedX,jw:v1:studio:1365,34,"slot repurposed: hierarchical network/studio, 302 post-JAV scenes"
471,Porn Fidelity: The Talent Department,studio_spotlight,replace,XEmpire,jw:v1:studio:144,34,"slot repurposed: hierarchical network/studio, 224 post-JAV scenes"
472,Wifey: The Credits Can Wait,studio_spotlight,replace,Blowpass (Network),jw:v1:studio:153,34,"slot repurposed: hierarchical network/studio, 107 post-JAV scenes"
473,POVD: Remote Control Issues,studio_spotlight,replace,NF Media,jw:v1:studio:1547,33,"slot repurposed: hierarchical network/studio, 153 post-JAV scenes"
474,Wicked: The Binge Bureau,studio_spotlight,replace,Mile High Media,jw:v1:studio:165,35,"slot repurposed: hierarchical network/studio, 214 post-JAV scenes"
475,X-Art: The Rerun Situation,studio_spotlight,replace,BangBros,jw:v1:studio:168,33,"slot repurposed: hierarchical network/studio, 79 post-JAV scenes"
476,Miss Penny Barber: The Plot Factory,studio_spotlight,replace,Adult Prime,jw:v1:studio:1738,31,"slot repurposed: hierarchical network/studio, 207 post-JAV scenes"
477,MYLF X Mandy Flores: Approved by Absolutely Nobody,studio_spotlight,replace,TeamSkeet (Network),jw:v1:studio:176,31,"slot repurposed: hierarchical network/studio, 358 post-JAV scenes"
478,Vivid: The Late-Night Department,studio_spotlight,replace,MetArt Network,jw:v1:studio:1804,43,"slot repurposed: hierarchical network/studio, 62 post-JAV scenes"
479,"Arch Angel: House Rules, House Exceptions",studio_spotlight,replace,Mofos,jw:v1:studio:196,30,"slot repurposed: hierarchical network/studio, 143 post-JAV scenes"
