current_number,current_name,current_family,disposition,final_number,final_name,final_channel_key,old_count,final_count,count_changed,migration_note
131,Romi Rain: Nothing on the Calendar,performer_spotlight,keep,131,Romi Rain: Nothing on the Calendar,131|Romi Rain: Nothing on the Calendar,167,167,no,"concept survives; number, name, and identity preserved"
132,Isiah Maxwell: The Ratings Department,performer_spotlight,keep,132,Isiah Maxwell: The Ratings Department,132|Isiah Maxwell: The Ratings Department,165,165,no,"concept survives; number, name, and identity preserved"
133,Marley Brinx: Full-Time Distraction,performer_spotlight,keep,133,Marley Brinx: Full-Time Distraction,133|Marley Brinx: Full-Time Distraction,156,156,no,"concept survives; number, name, and identity preserved"
134,Oliver Flynn: Nobody Read the Memo,performer_spotlight,keep,134,Oliver Flynn: Nobody Read the Memo,134|Oliver Flynn: Nobody Read the Memo,156,156,no,"concept survives; number, name, and identity preserved"
135,Derrick Pierce: The Opening Credits Club,performer_spotlight,keep,135,Derrick Pierce: The Opening Credits Club,135|Derrick Pierce: The Opening Credits Club,155,155,no,"concept survives; number, name, and identity preserved"
136,Brandi Love Has the Remote,performer_spotlight,keep,136,Brandi Love Has the Remote,136|Brandi Love Has the Remote,153,153,no,"concept survives; number, name, and identity preserved"
137,Gabbie Carter: HR Would Like a Word,performer_spotlight,keep,137,Gabbie Carter: HR Would Like a Word,137|Gabbie Carter: HR Would Like a Word,151,151,no,"concept survives; number, name, and identity preserved"
138,Cory Chase vs. the Bedtime Schedule,performer_spotlight,keep,138,Cory Chase vs. the Bedtime Schedule,138|Cory Chase vs. the Bedtime Schedule,147,147,no,"concept survives; number, name, and identity preserved"
139,Casey Calvert: The Plot Thickens,performer_spotlight,keep,139,Casey Calvert: The Plot Thickens,139|Casey Calvert: The Plot Thickens,145,145,no,"concept survives; number, name, and identity preserved"
140,Rissa May & the Missing Script,performer_spotlight,keep,140,Rissa May & the Missing Script,140|Rissa May & the Missing Script,144,144,no,"concept survives; number, name, and identity preserved"
141,Danny D: Do Not Auto-Play at Work,performer_spotlight,keep,141,Danny D: Do Not Auto-Play at Work,141|Danny D: Do Not Auto-Play at Work,142,142,no,"concept survives; number, name, and identity preserved"
142,Alexis Texas: Overtime Approved,performer_spotlight,keep,142,Alexis Texas: Overtime Approved,142|Alexis Texas: Overtime Approved,141,141,no,"concept survives; number, name, and identity preserved"
143,Erik Everhard Presents: Questionable Decisions,performer_spotlight,keep,143,Erik Everhard Presents: Questionable Decisions,143|Erik Everhard Presents: Questionable Decisions,139,139,no,"concept survives; number, name, and identity preserved"
144,Jules Jordan: Main Character Hours,performer_spotlight,keep,144,Jules Jordan: Main Character Hours,144|Jules Jordan: Main Character Hours,139,139,no,"concept survives; number, name, and identity preserved"
145,Jessie Rogers: The Binge Committee,performer_spotlight,keep,145,Jessie Rogers: The Binge Committee,145|Jessie Rogers: The Binge Committee,138,138,no,"concept survives; number, name, and identity preserved"
146,Brooklyn Chase: The Skip Intro Department,performer_spotlight,keep,146,Brooklyn Chase: The Skip Intro Department,146|Brooklyn Chase: The Skip Intro Department,133,133,no,"concept survives; number, name, and identity preserved"
147,Dani Daniels: No Meeting Could Replace This,performer_spotlight,keep,147,Dani Daniels: No Meeting Could Replace This,147|Dani Daniels: No Meeting Could Replace This,131,131,no,"concept survives; number, name, and identity preserved"
148,Kyle Mason: The Unscheduled Special,performer_spotlight,keep,148,Kyle Mason: The Unscheduled Special,148|Kyle Mason: The Unscheduled Special,130,130,no,"concept survives; number, name, and identity preserved"
149,Stacy Cruz: Cancel Your Plans,performer_spotlight,keep,149,Stacy Cruz: Cancel Your Plans,149|Stacy Cruz: Cancel Your Plans,131,131,no,"concept survives; number, name, and identity preserved"
150,Krissy Lynn: The Remote Majority,performer_spotlight,keep,150,Krissy Lynn: The Remote Majority,150|Krissy Lynn: The Remote Majority,128,128,no,"concept survives; number, name, and identity preserved"
151,Vince Karter: Premium Procrastination,performer_spotlight,keep,151,Vince Karter: Premium Procrastination,151|Vince Karter: Premium Procrastination,128,128,no,"concept survives; number, name, and identity preserved"
152,Ryan McLane: Doing the Most,performer_spotlight,keep,152,Ryan McLane: Doing the Most,152|Ryan McLane: Doing the Most,127,127,no,"concept survives; number, name, and identity preserved"
153,Mia Malkova: The Late Fee Channel,performer_spotlight,keep,153,Mia Malkova: The Late Fee Channel,153|Mia Malkova: The Late Fee Channel,124,124,no,"concept survives; number, name, and identity preserved"
154,Dillion Harper: Zero Inbox Energy,performer_spotlight,keep,154,Dillion Harper: Zero Inbox Energy,154|Dillion Harper: Zero Inbox Energy,123,123,no,"concept survives; number, name, and identity preserved"
155,Van Wylde: Please Remain Tuned,performer_spotlight,keep,155,Van Wylde: Please Remain Tuned,155|Van Wylde: Please Remain Tuned,122,122,no,"concept survives; number, name, and identity preserved"
156,Aria Alexander: The Extended Lunch Break,performer_spotlight,keep,156,Aria Alexander: The Extended Lunch Break,156|Aria Alexander: The Extended Lunch Break,119,119,no,"concept survives; number, name, and identity preserved"
157,Allie Haze: Not in the Employee Handbook,performer_spotlight,keep,157,Allie Haze: Not in the Employee Handbook,157|Allie Haze: Not in the Employee Handbook,117,117,no,"concept survives; number, name, and identity preserved"
158,Mr. Pete: Plot Armor Included,performer_spotlight,keep,158,Mr. Pete: Plot Armor Included,158|Mr. Pete: Plot Armor Included,116,116,no,"concept survives; number, name, and identity preserved"
159,Codey Steele: The Agenda Has Changed,performer_spotlight,keep,159,Codey Steele: The Agenda Has Changed,159|Codey Steele: The Agenda Has Changed,115,115,no,"concept survives; number, name, and identity preserved"
160,Penny Barber: One More Episode,performer_spotlight,keep,160,Penny Barber: One More Episode,160|Penny Barber: One More Episode,114,114,no,"concept survives; number, name, and identity preserved"
161,Asa Akira: The Not-So-Silent Partner,performer_spotlight,keep,161,Asa Akira: The Not-So-Silent Partner,161|Asa Akira: The Not-So-Silent Partner,110,110,no,"concept survives; number, name, and identity preserved"
162,Ryan Driller: After the Group Chat,performer_spotlight,keep,162,Ryan Driller: After the Group Chat,162|Ryan Driller: After the Group Chat,109,109,no,"concept survives; number, name, and identity preserved"
163,Chris Strokes: This Meeting Runs Late,performer_spotlight,keep,163,Chris Strokes: This Meeting Runs Late,163|Chris Strokes: This Meeting Runs Late,108,108,no,"concept survives; number, name, and identity preserved"
164,The Pope: The Recommendation Engine,performer_spotlight,keep,164,The Pope: The Recommendation Engine,164|The Pope: The Recommendation Engine,108,108,no,"concept survives; number, name, and identity preserved"
165,Michael Vegas: Airplane Mode Recommended,performer_spotlight,keep,165,Michael Vegas: Airplane Mode Recommended,165|Michael Vegas: Airplane Mode Recommended,105,105,no,"concept survives; number, name, and identity preserved"
166,Chad White: The Couch Has Questions,performer_spotlight,keep,166,Chad White: The Couch Has Questions,166|Chad White: The Couch Has Questions,103,103,no,"concept survives; number, name, and identity preserved"
167,April Olsen: Nothing on the Calendar,performer_spotlight,keep,167,April Olsen: Nothing on the Calendar,167|April Olsen: Nothing on the Calendar,102,102,no,"concept survives; number, name, and identity preserved"
168,Small Hands: The Ratings Department,performer_spotlight,keep,168,Small Hands: The Ratings Department,168|Small Hands: The Ratings Department,100,100,no,"concept survives; number, name, and identity preserved"
169,Rebel Lynn: Full-Time Distraction,performer_spotlight,keep,169,Rebel Lynn: Full-Time Distraction,169|Rebel Lynn: Full-Time Distraction,99,99,no,"concept survives; number, name, and identity preserved"
170,Tommy Gunn: Nobody Read the Memo,performer_spotlight,keep,170,Tommy Gunn: Nobody Read the Memo,170|Tommy Gunn: Nobody Read the Memo,98,98,no,"concept survives; number, name, and identity preserved"
171,Mickey Mod: The Opening Credits Club,performer_spotlight,keep,171,Mickey Mod: The Opening Credits Club,171|Mickey Mod: The Opening Credits Club,97,97,no,"concept survives; number, name, and identity preserved"
172,Jay Romero Has the Remote,performer_spotlight,keep,172,Jay Romero Has the Remote,172|Jay Romero Has the Remote,96,96,no,"concept survives; number, name, and identity preserved"
173,Jordan Ash: HR Would Like a Word,performer_spotlight,keep,173,Jordan Ash: HR Would Like a Word,173|Jordan Ash: HR Would Like a Word,94,94,no,"concept survives; number, name, and identity preserved"
174,Alexa Grace vs. the Bedtime Schedule,performer_spotlight,keep,174,Alexa Grace vs. the Bedtime Schedule,174|Alexa Grace vs. the Bedtime Schedule,93,93,no,"concept survives; number, name, and identity preserved"
175,Ariana Marie: The Plot Thickens,performer_spotlight,keep,175,Ariana Marie: The Plot Thickens,175|Ariana Marie: The Plot Thickens,93,93,no,"concept survives; number, name, and identity preserved"
176,Bridgette B & the Missing Script,performer_spotlight,keep,176,Bridgette B & the Missing Script,176|Bridgette B & the Missing Script,93,93,no,"concept survives; number, name, and identity preserved"
177,Abigail Mac: Do Not Auto-Play at Work,performer_spotlight,keep,177,Abigail Mac: Do Not Auto-Play at Work,177|Abigail Mac: Do Not Auto-Play at Work,92,92,no,"concept survives; number, name, and identity preserved"
178,Lucas Frost: Overtime Approved,performer_spotlight,keep,178,Lucas Frost: Overtime Approved,178|Lucas Frost: Overtime Approved,92,92,no,"concept survives; number, name, and identity preserved"
179,Bonnie Rotten Presents: Questionable Decisions,performer_spotlight,keep,179,Bonnie Rotten Presents: Questionable Decisions,179|Bonnie Rotten Presents: Questionable Decisions,91,91,no,"concept survives; number, name, and identity preserved"
180,Jean Val Jean: Main Character Hours,performer_spotlight,keep,180,Jean Val Jean: Main Character Hours,180|Jean Val Jean: Main Character Hours,91,91,no,"concept survives; number, name, and identity preserved"
181,Jennifer Mendez: The Binge Committee,performer_spotlight,keep,181,Jennifer Mendez: The Binge Committee,181|Jennifer Mendez: The Binge Committee,91,91,no,"concept survives; number, name, and identity preserved"
182,John Strong: The Skip Intro Department,performer_spotlight,keep,182,John Strong: The Skip Intro Department,182|John Strong: The Skip Intro Department,92,92,no,"concept survives; number, name, and identity preserved"
183,Valentina Nappi: No Meeting Could Replace This,performer_spotlight,keep,183,Valentina Nappi: No Meeting Could Replace This,183|Valentina Nappi: No Meeting Could Replace This,91,91,no,"concept survives; number, name, and identity preserved"
184,Zac Wild: The Unscheduled Special,performer_spotlight,keep,184,Zac Wild: The Unscheduled Special,184|Zac Wild: The Unscheduled Special,91,91,no,"concept survives; number, name, and identity preserved"
185,Alex Coal: Cancel Your Plans,performer_spotlight,keep,185,Alex Coal: Cancel Your Plans,185|Alex Coal: Cancel Your Plans,90,90,no,"concept survives; number, name, and identity preserved"
186,Bruce Venture: The Remote Majority,performer_spotlight,keep,186,Bruce Venture: The Remote Majority,186|Bruce Venture: The Remote Majority,90,90,no,"concept survives; number, name, and identity preserved"
187,Brad Newman: Premium Procrastination,performer_spotlight,keep,187,Brad Newman: Premium Procrastination,187|Brad Newman: Premium Procrastination,89,89,no,"concept survives; number, name, and identity preserved"
188,Quinton James: Doing the Most,performer_spotlight,keep,188,Quinton James: Doing the Most,188|Quinton James: Doing the Most,89,89,no,"concept survives; number, name, and identity preserved"
189,Damon Dice: The Late Fee Channel,performer_spotlight,keep,189,Damon Dice: The Late Fee Channel,189|Damon Dice: The Late Fee Channel,88,88,no,"concept survives; number, name, and identity preserved"
190,Kristof Cale: Zero Inbox Energy,performer_spotlight,keep,190,Kristof Cale: Zero Inbox Energy,190|Kristof Cale: Zero Inbox Energy,88,88,no,"concept survives; number, name, and identity preserved"
191,Remy LaCroix: Please Remain Tuned,performer_spotlight,keep,191,Remy LaCroix: Please Remain Tuned,191|Remy LaCroix: Please Remain Tuned,88,88,no,"concept survives; number, name, and identity preserved"
192,Alex Legend: The Extended Lunch Break,performer_spotlight,keep,192,Alex Legend: The Extended Lunch Break,192|Alex Legend: The Extended Lunch Break,87,87,no,"concept survives; number, name, and identity preserved"
193,Melissa Moore: Not in the Employee Handbook,performer_spotlight,keep,193,Melissa Moore: Not in the Employee Handbook,193|Melissa Moore: Not in the Employee Handbook,87,87,no,"concept survives; number, name, and identity preserved"
194,Nathan Bronson: Plot Armor Included,performer_spotlight,keep,194,Nathan Bronson: Plot Armor Included,194|Nathan Bronson: Plot Armor Included,88,88,no,"concept survives; number, name, and identity preserved"
195,Alex Jones: The Agenda Has Changed,performer_spotlight,keep,195,Alex Jones: The Agenda Has Changed,195|Alex Jones: The Agenda Has Changed,87,87,no,"concept survives; number, name, and identity preserved"
196,Victoria June: One More Episode,performer_spotlight,keep,196,Victoria June: One More Episode,196|Victoria June: One More Episode,86,86,no,"concept survives; number, name, and identity preserved"
197,Mark Wood: The Not-So-Silent Partner,performer_spotlight,keep,197,Mark Wood: The Not-So-Silent Partner,197|Mark Wood: The Not-So-Silent Partner,85,85,no,"concept survives; number, name, and identity preserved"
198,Ricky Johnson: After the Group Chat,performer_spotlight,keep,198,Ricky Johnson: After the Group Chat,198|Ricky Johnson: After the Group Chat,84,84,no,"concept survives; number, name, and identity preserved"
199,Milan Ponjevic: This Meeting Runs Late,performer_spotlight,keep,199,Milan Ponjevic: This Meeting Runs Late,199|Milan Ponjevic: This Meeting Runs Late,83,83,no,"concept survives; number, name, and identity preserved"
200,Ashlynn Brooke: The Recommendation Engine,performer_spotlight,keep,200,Ashlynn Brooke: The Recommendation Engine,200|Ashlynn Brooke: The Recommendation Engine,82,82,no,"concept survives; number, name, and identity preserved"
201,Jake Adams: Airplane Mode Recommended,performer_spotlight,keep,201,Jake Adams: Airplane Mode Recommended,201|Jake Adams: Airplane Mode Recommended,82,82,no,"concept survives; number, name, and identity preserved"
202,Jessy Jones: The Couch Has Questions,performer_spotlight,keep,202,Jessy Jones: The Couch Has Questions,202|Jessy Jones: The Couch Has Questions,82,82,no,"concept survives; number, name, and identity preserved"
203,Mike Adriano: Nothing on the Calendar,performer_spotlight,keep,203,Mike Adriano: Nothing on the Calendar,203|Mike Adriano: Nothing on the Calendar,79,79,no,"concept survives; number, name, and identity preserved"
204,Rion King: The Ratings Department,performer_spotlight,keep,204,Rion King: The Ratings Department,204|Rion King: The Ratings Department,79,79,no,"concept survives; number, name, and identity preserved"
205,Will Pounder: Full-Time Distraction,performer_spotlight,keep,205,Will Pounder: Full-Time Distraction,205|Will Pounder: Full-Time Distraction,78,78,no,"concept survives; number, name, and identity preserved"
206,April O'Neil: Nobody Read the Memo,performer_spotlight,keep,206,April O'Neil: Nobody Read the Memo,206|April O'Neil: Nobody Read the Memo,77,77,no,"concept survives; number, name, and identity preserved"
207,Kylie Rocket: The Opening Credits Club,performer_spotlight,keep,207,Kylie Rocket: The Opening Credits Club,207|Kylie Rocket: The Opening Credits Club,77,77,no,"concept survives; number, name, and identity preserved"
208,Andi Avalon Has the Remote,performer_spotlight,keep,208,Andi Avalon Has the Remote,208|Andi Avalon Has the Remote,76,76,no,"concept survives; number, name, and identity preserved"
209,Dan Damage: HR Would Like a Word,performer_spotlight,keep,209,Dan Damage: HR Would Like a Word,209|Dan Damage: HR Would Like a Word,72,72,no,"concept survives; number, name, and identity preserved"
210,Adrianna Luna vs. the Bedtime Schedule,performer_spotlight,keep,210,Adrianna Luna vs. the Bedtime Schedule,210|Adrianna Luna vs. the Bedtime Schedule,71,71,no,"concept survives; number, name, and identity preserved"
211,Prince Yahshua: The Plot Thickens,performer_spotlight,keep,211,Prince Yahshua: The Plot Thickens,211|Prince Yahshua: The Plot Thickens,71,71,no,"concept survives; number, name, and identity preserved"
212,Jenna Presley & the Missing Script,performer_spotlight,keep,212,Jenna Presley & the Missing Script,212|Jenna Presley & the Missing Script,70,70,no,"concept survives; number, name, and identity preserved"
213,Logan Pierce: Do Not Auto-Play at Work,performer_spotlight,keep,213,Logan Pierce: Do Not Auto-Play at Work,213|Logan Pierce: Do Not Auto-Play at Work,69,69,no,"concept survives; number, name, and identity preserved"
214,Chris Diamond: Overtime Approved,performer_spotlight,keep,214,Chris Diamond: Overtime Approved,214|Chris Diamond: Overtime Approved,68,68,no,"concept survives; number, name, and identity preserved"
215,Robby Echo Presents: Questionable Decisions,performer_spotlight,keep,215,Robby Echo Presents: Questionable Decisions,215|Robby Echo Presents: Questionable Decisions,69,69,no,"concept survives; number, name, and identity preserved"
216,Toni Ribas: Main Character Hours,performer_spotlight,keep,216,Toni Ribas: Main Character Hours,216|Toni Ribas: Main Character Hours,68,68,no,"concept survives; number, name, and identity preserved"
217,Iona Grace: The Binge Committee,performer_spotlight,keep,217,Iona Grace: The Binge Committee,217|Iona Grace: The Binge Committee,67,67,no,"concept survives; number, name, and identity preserved"
218,Olive Glass: The Skip Intro Department,performer_spotlight,keep,218,Olive Glass: The Skip Intro Department,218|Olive Glass: The Skip Intro Department,66,66,no,"concept survives; number, name, and identity preserved"
219,Maestro: No Meeting Could Replace This,performer_spotlight,keep,219,Maestro: No Meeting Could Replace This,219|Maestro: No Meeting Could Replace This,65,65,no,"concept survives; number, name, and identity preserved"
220,Parker Ambrose: The Unscheduled Special,performer_spotlight,keep,220,Parker Ambrose: The Unscheduled Special,220|Parker Ambrose: The Unscheduled Special,65,65,no,"concept survives; number, name, and identity preserved"
221,Sophia Leone: Cancel Your Plans,performer_spotlight,keep,221,Sophia Leone: Cancel Your Plans,221|Sophia Leone: Cancel Your Plans,65,65,no,"concept survives; number, name, and identity preserved"
222,Angela White: The Remote Majority,performer_spotlight,keep,222,Angela White: The Remote Majority,222|Angela White: The Remote Majority,64,64,no,"concept survives; number, name, and identity preserved"
223,Eva Lovia: Premium Procrastination,performer_spotlight,keep,223,Eva Lovia: Premium Procrastination,223|Eva Lovia: Premium Procrastination,64,64,no,"concept survives; number, name, and identity preserved"
224,Kevin Crows: Doing the Most,performer_spotlight,keep,224,Kevin Crows: Doing the Most,224|Kevin Crows: Doing the Most,64,64,no,"concept survives; number, name, and identity preserved"
225,Kurea Hasumi: The Late Fee Channel,performer_spotlight,keep,225,Kurea Hasumi: The Late Fee Channel,225|Kurea Hasumi: The Late Fee Channel,64,64,no,"concept survives; number, name, and identity preserved"
226,Marco Banderas: Zero Inbox Energy,performer_spotlight,keep,226,Marco Banderas: Zero Inbox Energy,226|Marco Banderas: Zero Inbox Energy,65,65,no,"concept survives; number, name, and identity preserved"
227,Jordi El Nino Polla: Please Remain Tuned,performer_spotlight,keep,227,Jordi El Nino Polla: Please Remain Tuned,227|Jordi El Nino Polla: Please Remain Tuned,63,63,no,"concept survives; number, name, and identity preserved"
228,Dylan Ryan: The Extended Lunch Break,performer_spotlight,keep,228,Dylan Ryan: The Extended Lunch Break,228|Dylan Ryan: The Extended Lunch Break,62,62,no,"concept survives; number, name, and identity preserved"
229,Jax Slayher: Not in the Employee Handbook,performer_spotlight,keep,229,Jax Slayher: Not in the Employee Handbook,229|Jax Slayher: Not in the Employee Handbook,62,62,no,"concept survives; number, name, and identity preserved"
230,Lena Paul: Plot Armor Included,performer_spotlight,keep,230,Lena Paul: Plot Armor Included,230|Lena Paul: Plot Armor Included,61,61,no,"concept survives; number, name, and identity preserved"
231,Madison Ivy: The Agenda Has Changed,performer_spotlight,keep,231,Madison Ivy: The Agenda Has Changed,231|Madison Ivy: The Agenda Has Changed,61,61,no,"concept survives; number, name, and identity preserved"
232,Kenna James: One More Episode,performer_spotlight,keep,232,Kenna James: One More Episode,232|Kenna James: One More Episode,60,60,no,"concept survives; number, name, and identity preserved"
233,Adriana Chechik: The Not-So-Silent Partner,performer_spotlight,keep,233,Adriana Chechik: The Not-So-Silent Partner,233|Adriana Chechik: The Not-So-Silent Partner,59,59,no,"concept survives; number, name, and identity preserved"
234,Aiden Starr: After the Group Chat,performer_spotlight,keep,234,Aiden Starr: After the Group Chat,234|Aiden Starr: After the Group Chat,59,59,no,"concept survives; number, name, and identity preserved"
235,Sean Lawless: This Meeting Runs Late,performer_spotlight,keep,235,Sean Lawless: This Meeting Runs Late,235|Sean Lawless: This Meeting Runs Late,59,59,no,"concept survives; number, name, and identity preserved"
236,Stella Cox: The Recommendation Engine,performer_spotlight,keep,236,Stella Cox: The Recommendation Engine,236|Stella Cox: The Recommendation Engine,59,59,no,"concept survives; number, name, and identity preserved"
237,Dante Colle: Airplane Mode Recommended,performer_spotlight,keep,237,Dante Colle: Airplane Mode Recommended,237|Dante Colle: Airplane Mode Recommended,58,58,no,"concept survives; number, name, and identity preserved"
238,John Long: The Couch Has Questions,performer_spotlight,keep,238,John Long: The Couch Has Questions,238|John Long: The Couch Has Questions,58,58,no,"concept survives; number, name, and identity preserved"
239,Kelly Madison: Nothing on the Calendar,performer_spotlight,keep,239,Kelly Madison: Nothing on the Calendar,239|Kelly Madison: Nothing on the Calendar,58,58,no,"concept survives; number, name, and identity preserved"
240,Krysta Kaos: The Ratings Department,performer_spotlight,keep,240,Krysta Kaos: The Ratings Department,240|Krysta Kaos: The Ratings Department,58,58,no,"concept survives; number, name, and identity preserved"
241,Peter Green: Full-Time Distraction,performer_spotlight,keep,241,Peter Green: Full-Time Distraction,241|Peter Green: Full-Time Distraction,58,58,no,"concept survives; number, name, and identity preserved"
242,Emily Willis: Nobody Read the Memo,performer_spotlight,keep,242,Emily Willis: Nobody Read the Memo,242|Emily Willis: Nobody Read the Memo,57,57,no,"concept survives; number, name, and identity preserved"
243,Holly Michaels: The Opening Credits Club,performer_spotlight,keep,243,Holly Michaels: The Opening Credits Club,243|Holly Michaels: The Opening Credits Club,57,57,no,"concept survives; number, name, and identity preserved"
244,Maximo Garcia Has the Remote,performer_spotlight,keep,244,Maximo Garcia Has the Remote,244|Maximo Garcia Has the Remote,57,57,no,"concept survives; number, name, and identity preserved"
245,Mona Azar: HR Would Like a Word,performer_spotlight,keep,245,Mona Azar: HR Would Like a Word,245|Mona Azar: HR Would Like a Word,57,57,no,"concept survives; number, name, and identity preserved"
246,Anna Bell Peaks vs. the Bedtime Schedule,performer_spotlight,keep,246,Anna Bell Peaks vs. the Bedtime Schedule,246|Anna Bell Peaks vs. the Bedtime Schedule,53,53,no,"concept survives; number, name, and identity preserved"
247,Avi Love: The Plot Thickens,performer_spotlight,keep,247,Avi Love: The Plot Thickens,247|Avi Love: The Plot Thickens,53,53,no,"concept survives; number, name, and identity preserved"
