channel_id,channel_number,channel_name,proposed_name,category,channel_type,disposition,deployment,scene_count,library_percent,distinct_performers,distinct_studios,filter_definition,tag_ids,tag_names,performer_ids,performer_names,studio_ids,studio_names,count_changed,quality_score,reason_selected
135|Derrick Pierce: The Opening Credits Club,135,Derrick Pierce: The Opening Credits Club,Derrick Pierce,Performers,performer_spotlight,keep,import-ready,155,0.76,175,31,"{""include"":{""performers_all"":[""140""]},""exclude"":{""tags_any"":[""9320""]}}",,,140,Derrick Pierce,,,no,74,performer with 50+ post-JAV scenes (155)
136|Brandi Love Has the Remote,136,Brandi Love Has the Remote,Brandi Love,Performers,performer_spotlight,keep,import-ready,153,0.75,130,48,"{""include"":{""performers_all"":[""255""]},""exclude"":{""tags_any"":[""9320""]}}",,,255,Brandi Love,,,no,74,performer with 50+ post-JAV scenes (153)
137|Gabbie Carter: HR Would Like a Word,137,Gabbie Carter: HR Would Like a Word,Gabbie Carter,Performers,performer_spotlight,keep,import-ready,151,0.74,84,76,"{""include"":{""performers_all"":[""621""]},""exclude"":{""tags_any"":[""9320""]}}",,,621,Gabbie Carter,,,no,74,performer with 50+ post-JAV scenes (151)
138|Cory Chase vs. the Bedtime Schedule,138,Cory Chase vs. the Bedtime Schedule,Cory Chase,Performers,performer_spotlight,keep,import-ready,147,0.72,120,38,"{""include"":{""performers_all"":[""12""]},""exclude"":{""tags_any"":[""9320""]}}",,,12,Cory Chase,,,no,74,performer with 50+ post-JAV scenes (147)
139|Casey Calvert: The Plot Thickens,139,Casey Calvert: The Plot Thickens,Casey Calvert,Performers,performer_spotlight,keep,import-ready,145,0.71,156,49,"{""include"":{""performers_all"":[""256""]},""exclude"":{""tags_any"":[""9320""]}}",,,256,Casey Calvert,,,no,75,performer with 50+ post-JAV scenes (145)
140|Rissa May & the Missing Script,140,Rissa May & the Missing Script,Rissa May,Performers,performer_spotlight,keep,import-ready,144,0.71,101,93,"{""include"":{""performers_all"":[""3532""]},""exclude"":{""tags_any"":[""9320""]}}",,,3532,Rissa May,,,no,75,performer with 50+ post-JAV scenes (144)
141|Danny D: Do Not Auto-Play at Work,141,Danny D: Do Not Auto-Play at Work,Danny D,Performers,performer_spotlight,keep,import-ready,142,0.7,267,17,"{""include"":{""performers_all"":[""213""]},""exclude"":{""tags_any"":[""9320""]}}",,,213,Danny D,,,no,74,performer with 50+ post-JAV scenes (142)
142|Alexis Texas: Overtime Approved,142,Alexis Texas: Overtime Approved,Alexis Texas,Performers,performer_spotlight,keep,import-ready,141,0.69,102,30,"{""include"":{""performers_all"":[""733""]},""exclude"":{""tags_any"":[""9320""]}}",,,733,Alexis Texas,,,no,73,performer with 50+ post-JAV scenes (141)
143|Erik Everhard Presents: Questionable Decisions,143,Erik Everhard Presents: Questionable Decisions,Erik Everhard,Performers,performer_spotlight,keep,import-ready,139,0.68,156,43,"{""include"":{""performers_all"":[""181""]},""exclude"":{""tags_any"":[""9320""]}}",,,181,Erik Everhard,,,no,74,performer with 50+ post-JAV scenes (139)
144|Jules Jordan: Main Character Hours,144,Jules Jordan: Main Character Hours,Jules Jordan,Performers,performer_spotlight,keep,import-ready,139,0.68,105,2,"{""include"":{""performers_all"":[""372""]},""exclude"":{""tags_any"":[""9320""]}}",,,372,Jules Jordan,,,no,68,performer with 50+ post-JAV scenes (139)
145|Jessie Rogers: The Binge Committee,145,Jessie Rogers: The Binge Committee,Jessie Rogers,Performers,performer_spotlight,keep,import-ready,138,0.68,114,85,"{""include"":{""performers_all"":[""848""]},""exclude"":{""tags_any"":[""9320""]}}",,,848,Jessie Rogers,,,no,75,performer with 50+ post-JAV scenes (138)
146|Brooklyn Chase: The Skip Intro Department,146,Brooklyn Chase: The Skip Intro Department,Brooklyn Chase,Performers,performer_spotlight,keep,import-ready,133,0.66,133,72,"{""include"":{""performers_all"":[""81""]},""exclude"":{""tags_any"":[""9320""]}}",,,81,Brooklyn Chase,,,no,75,performer with 50+ post-JAV scenes (133)
147|Dani Daniels: No Meeting Could Replace This,147,Dani Daniels: No Meeting Could Replace This,Dani Daniels,Performers,performer_spotlight,keep,import-ready,131,0.65,109,44,"{""include"":{""performers_all"":[""56""]},""exclude"":{""tags_any"":[""9320""]}}",,,56,Dani Daniels,,,no,74,performer with 50+ post-JAV scenes (131)
148|Kyle Mason: The Unscheduled Special,148,Kyle Mason: The Unscheduled Special,Kyle Mason,Performers,performer_spotlight,keep,import-ready,130,0.64,162,51,"{""include"":{""performers_all"":[""19""]},""exclude"":{""tags_any"":[""9320""]}}",,,19,Kyle Mason,,,no,75,performer with 50+ post-JAV scenes (130)
149|Stacy Cruz: Cancel Your Plans,149,Stacy Cruz: Cancel Your Plans,Stacy Cruz,Performers,performer_spotlight,keep,import-ready,131,0.65,87,57,"{""include"":{""performers_all"":[""469""]},""exclude"":{""tags_any"":[""9320""]}}",,,469,Stacy Cruz,,,no,74,performer with 50+ post-JAV scenes (131)
150|Krissy Lynn: The Remote Majority,150,Krissy Lynn: The Remote Majority,Krissy Lynn,Performers,performer_spotlight,keep,import-ready,128,0.63,120,60,"{""include"":{""performers_all"":[""510""]},""exclude"":{""tags_any"":[""9320""]}}",,,510,Krissy Lynn,,,no,75,performer with 50+ post-JAV scenes (128)
151|Vince Karter: Premium Procrastination,151,Vince Karter: Premium Procrastination,Vince Karter,Performers,performer_spotlight,keep,import-ready,128,0.63,163,26,"{""include"":{""performers_all"":[""801""]},""exclude"":{""tags_any"":[""9320""]}}",,,801,Vince Karter,,,no,74,performer with 50+ post-JAV scenes (128)
152|Ryan McLane: Doing the Most,152,Ryan McLane: Doing the Most,Ryan McLane,Performers,performer_spotlight,keep,import-ready,127,0.63,122,39,"{""include"":{""performers_all"":[""152""]},""exclude"":{""tags_any"":[""9320""]}}",,,152,Ryan McLane,,,no,74,performer with 50+ post-JAV scenes (127)
153|Mia Malkova: The Late Fee Channel,153,Mia Malkova: The Late Fee Channel,Mia Malkova,Performers,performer_spotlight,keep,import-ready,124,0.61,120,63,"{""include"":{""performers_all"":[""116""]},""exclude"":{""tags_any"":[""9320""]}}",,,116,Mia Malkova,,,no,75,performer with 50+ post-JAV scenes (124)
154|Dillion Harper: Zero Inbox Energy,154,Dillion Harper: Zero Inbox Energy,Dillion Harper,Performers,performer_spotlight,keep,import-ready,123,0.61,108,41,"{""include"":{""performers_all"":[""566""]},""exclude"":{""tags_any"":[""9320""]}}",,,566,Dillion Harper,,,no,74,performer with 50+ post-JAV scenes (123)
155|Van Wylde: Please Remain Tuned,155,Van Wylde: Please Remain Tuned,Van Wylde,Performers,performer_spotlight,keep,import-ready,122,0.6,186,49,"{""include"":{""performers_all"":[""418""]},""exclude"":{""tags_any"":[""9320""]}}",,,418,Van Wylde,,,no,75,performer with 50+ post-JAV scenes (122)
156|Aria Alexander: The Extended Lunch Break,156,Aria Alexander: The Extended Lunch Break,Aria Alexander,Performers,performer_spotlight,keep,import-ready,119,0.59,106,56,"{""include"":{""performers_all"":[""889""]},""exclude"":{""tags_any"":[""9320""]}}",,,889,Aria Alexander,,,no,74,performer with 50+ post-JAV scenes (119)
157|Allie Haze: Not in the Employee Handbook,157,Allie Haze: Not in the Employee Handbook,Allie Haze,Performers,performer_spotlight,keep,import-ready,117,0.58,98,42,"{""include"":{""performers_all"":[""162""]},""exclude"":{""tags_any"":[""9320""]}}",,,162,Allie Haze,,,no,74,performer with 50+ post-JAV scenes (117)
158|Mr. Pete: Plot Armor Included,158,Mr. Pete: Plot Armor Included,Mr. Pete,Performers,performer_spotlight,keep,import-ready,116,0.57,139,42,"{""include"":{""performers_all"":[""182""]},""exclude"":{""tags_any"":[""9320""]}}",,,182,Mr. Pete,,,no,74,performer with 50+ post-JAV scenes (116)
159|Codey Steele: The Agenda Has Changed,159,Codey Steele: The Agenda Has Changed,Codey Steele,Performers,performer_spotlight,keep,import-ready,115,0.57,174,36,"{""include"":{""performers_all"":[""2""]},""exclude"":{""tags_any"":[""9320""]}}",,,2,Codey Steele,,,no,74,performer with 50+ post-JAV scenes (115)
160|Penny Barber: One More Episode,160,Penny Barber: One More Episode,Penny Barber,Performers,performer_spotlight,keep,import-ready,114,0.56,63,28,"{""include"":{""performers_all"":[""996""]},""exclude"":{""tags_any"":[""9320""]}}",,,996,Penny Barber,,,no,72,performer with 50+ post-JAV scenes (114)
161|Asa Akira: The Not-So-Silent Partner,161,Asa Akira: The Not-So-Silent Partner,Asa Akira,Performers,performer_spotlight,keep,import-ready,110,0.54,109,26,"{""include"":{""performers_all"":[""887""]},""exclude"":{""tags_any"":[""9320""]}}",,,887,Asa Akira,,,no,73,performer with 50+ post-JAV scenes (110)
162|Ryan Driller: After the Group Chat,162,Ryan Driller: After the Group Chat,Ryan Driller,Performers,performer_spotlight,keep,import-ready,109,0.54,134,50,"{""include"":{""performers_all"":[""153""]},""exclude"":{""tags_any"":[""9320""]}}",,,153,Ryan Driller,,,no,74,performer with 50+ post-JAV scenes (109)
163|Chris Strokes: This Meeting Runs Late,163,Chris Strokes: This Meeting Runs Late,Chris Strokes,Performers,performer_spotlight,keep,import-ready,108,0.53,120,32,"{""include"":{""performers_all"":[""234""]},""exclude"":{""tags_any"":[""9320""]}}",,,234,Chris Strokes,,,no,73,performer with 50+ post-JAV scenes (108)
164|The Pope: The Recommendation Engine,164,The Pope: The Recommendation Engine,The Pope,Performers,performer_spotlight,keep,import-ready,108,0.53,83,9,"{""include"":{""performers_all"":[""3152""]},""exclude"":{""tags_any"":[""9320""]}}",,,3152,The Pope,,,no,70,performer with 50+ post-JAV scenes (108)
165|Michael Vegas: Airplane Mode Recommended,165,Michael Vegas: Airplane Mode Recommended,Michael Vegas,Performers,performer_spotlight,keep,import-ready,105,0.52,196,35,"{""include"":{""performers_all"":[""190""]},""exclude"":{""tags_any"":[""9320""]}}",,,190,Michael Vegas,,,no,74,performer with 50+ post-JAV scenes (105)
166|Chad White: The Couch Has Questions,166,Chad White: The Couch Has Questions,Chad White,Performers,performer_spotlight,keep,import-ready,103,0.51,125,52,"{""include"":{""performers_all"":[""159""]},""exclude"":{""tags_any"":[""9320""]}}",,,159,Chad White,,,no,74,performer with 50+ post-JAV scenes (103)
167|April Olsen: Nothing on the Calendar,167,April Olsen: Nothing on the Calendar,April Olsen,Performers,performer_spotlight,keep,import-ready,102,0.5,115,69,"{""include"":{""performers_all"":[""998""]},""exclude"":{""tags_any"":[""9320""]}}",,,998,April Olsen,,,no,75,performer with 50+ post-JAV scenes (102)
168|Small Hands: The Ratings Department,168,Small Hands: The Ratings Department,Small Hands,Performers,performer_spotlight,keep,import-ready,100,0.49,132,26,"{""include"":{""performers_all"":[""158""]},""exclude"":{""tags_any"":[""9320""]}}",,,158,Small Hands,,,no,73,performer with 50+ post-JAV scenes (100)
169|Rebel Lynn: Full-Time Distraction,169,Rebel Lynn: Full-Time Distraction,Rebel Lynn,Performers,performer_spotlight,keep,import-ready,99,0.49,58,55,"{""include"":{""performers_all"":[""803""]},""exclude"":{""tags_any"":[""9320""]}}",,,803,Rebel Lynn,,,no,67,performer with 50+ post-JAV scenes (99)
170|Tommy Gunn: Nobody Read the Memo,170,Tommy Gunn: Nobody Read the Memo,Tommy Gunn,Performers,performer_spotlight,keep,import-ready,98,0.48,128,43,"{""include"":{""performers_all"":[""191""]},""exclude"":{""tags_any"":[""9320""]}}",,,191,Tommy Gunn,,,no,68,performer with 50+ post-JAV scenes (98)
171|Mickey Mod: The Opening Credits Club,171,Mickey Mod: The Opening Credits Club,Mickey Mod,Performers,performer_spotlight,keep,import-ready,97,0.48,110,14,"{""include"":{""performers_all"":[""1057""]},""exclude"":{""tags_any"":[""9320""]}}",,,1057,Mickey Mod,,,no,66,performer with 50+ post-JAV scenes (97)
172|Jay Romero Has the Remote,172,Jay Romero Has the Remote,Jay Romero,Performers,performer_spotlight,keep,import-ready,96,0.47,90,33,"{""include"":{""performers_all"":[""764""]},""exclude"":{""tags_any"":[""9320""]}}",,,764,Jay Romero,,,no,67,performer with 50+ post-JAV scenes (96)
173|Jordan Ash: HR Would Like a Word,173,Jordan Ash: HR Would Like a Word,Jordan Ash,Performers,performer_spotlight,keep,import-ready,94,0.46,104,23,"{""include"":{""performers_all"":[""223""]},""exclude"":{""tags_any"":[""9320""]}}",,,223,Jordan Ash,,,no,67,performer with 50+ post-JAV scenes (94)
174|Alexa Grace vs. the Bedtime Schedule,174,Alexa Grace vs. the Bedtime Schedule,Alexa Grace,Performers,performer_spotlight,keep,import-ready,93,0.46,87,61,"{""include"":{""performers_all"":[""1021""]},""exclude"":{""tags_any"":[""9320""]}}",,,1021,Alexa Grace,,,no,68,performer with 50+ post-JAV scenes (93)
175|Ariana Marie: The Plot Thickens,175,Ariana Marie: The Plot Thickens,Ariana Marie,Performers,performer_spotlight,keep,import-ready,93,0.46,100,40,"{""include"":{""performers_all"":[""67""]},""exclude"":{""tags_any"":[""9320""]}}",,,67,Ariana Marie,,,no,68,performer with 50+ post-JAV scenes (93)
176|Bridgette B & the Missing Script,176,Bridgette B & the Missing Script,Bridgette B,Performers,performer_spotlight,keep,import-ready,93,0.46,104,45,"{""include"":{""performers_all"":[""474""]},""exclude"":{""tags_any"":[""9320""]}}",,,474,Bridgette B,,,no,68,performer with 50+ post-JAV scenes (93)
177|Abigail Mac: Do Not Auto-Play at Work,177,Abigail Mac: Do Not Auto-Play at Work,Abigail Mac,Performers,performer_spotlight,keep,import-ready,92,0.45,97,32,"{""include"":{""performers_all"":[""47""]},""exclude"":{""tags_any"":[""9320""]}}",,,47,Abigail Mac,,,no,67,performer with 50+ post-JAV scenes (92)
178|Lucas Frost: Overtime Approved,178,Lucas Frost: Overtime Approved,Lucas Frost,Performers,performer_spotlight,keep,import-ready,92,0.45,107,47,"{""include"":{""performers_all"":[""262""]},""exclude"":{""tags_any"":[""9320""]}}",,,262,Lucas Frost,,,no,68,performer with 50+ post-JAV scenes (92)
179|Bonnie Rotten Presents: Questionable Decisions,179,Bonnie Rotten Presents: Questionable Decisions,Bonnie Rotten,Performers,performer_spotlight,keep,import-ready,91,0.45,95,25,"{""include"":{""performers_all"":[""401""]},""exclude"":{""tags_any"":[""9320""]}}",,,401,Bonnie Rotten,,,no,67,performer with 50+ post-JAV scenes (91)
180|Jean Val Jean: Main Character Hours,180,Jean Val Jean: Main Character Hours,Jean Val Jean,Performers,performer_spotlight,keep,import-ready,91,0.45,99,9,"{""include"":{""performers_all"":[""894""]},""exclude"":{""tags_any"":[""9320""]}}",,,894,Jean Val Jean,,,no,65,performer with 50+ post-JAV scenes (91)
181|Jennifer Mendez: The Binge Committee,181,Jennifer Mendez: The Binge Committee,Jennifer Mendez,Performers,performer_spotlight,keep,import-ready,91,0.45,67,59,"{""include"":{""performers_all"":[""3016""]},""exclude"":{""tags_any"":[""9320""]}}",,,3016,Jennifer Mendez,,,no,68,performer with 50+ post-JAV scenes (91)
182|John Strong: The Skip Intro Department,182,John Strong: The Skip Intro Department,John Strong,Performers,performer_spotlight,keep,import-ready,92,0.45,168,37,"{""include"":{""performers_all"":[""20""]},""exclude"":{""tags_any"":[""9320""]}}",,,20,John Strong,,,no,68,performer with 50+ post-JAV scenes (92)
183|Valentina Nappi: No Meeting Could Replace This,183,Valentina Nappi: No Meeting Could Replace This,Valentina Nappi,Performers,performer_spotlight,keep,import-ready,91,0.45,110,34,"{""include"":{""performers_all"":[""481""]},""exclude"":{""tags_any"":[""9320""]}}",,,481,Valentina Nappi,,,no,68,performer with 50+ post-JAV scenes (91)
184|Zac Wild: The Unscheduled Special,184,Zac Wild: The Unscheduled Special,Zac Wild,Performers,performer_spotlight,keep,import-ready,91,0.45,90,28,"{""include"":{""performers_all"":[""492""]},""exclude"":{""tags_any"":[""9320""]}}",,,492,Zac Wild,,,no,67,performer with 50+ post-JAV scenes (91)
185|Alex Coal: Cancel Your Plans,185,Alex Coal: Cancel Your Plans,Alex Coal,Performers,performer_spotlight,keep,import-ready,90,0.44,74,55,"{""include"":{""performers_all"":[""264""]},""exclude"":{""tags_any"":[""9320""]}}",,,264,Alex Coal,,,no,68,performer with 50+ post-JAV scenes (90)
186|Bruce Venture: The Remote Majority,186,Bruce Venture: The Remote Majority,Bruce Venture,Performers,performer_spotlight,keep,import-ready,90,0.44,84,31,"{""include"":{""performers_all"":[""257""]},""exclude"":{""tags_any"":[""9320""]}}",,,257,Bruce Venture,,,no,67,performer with 50+ post-JAV scenes (90)
