channel_number,channel_name,channel_family,exact_scene_count,library_share_pct,include_tag_logic,include_tag_ids_all,include_tags_all,exclude_tag_logic,exclude_tag_ids_any,exclude_tags_any,include_performer_logic,include_performer_ids_all,include_performers_all,exclude_performer_logic,exclude_performer_ids_any,exclude_performers_any,include_studio_logic,include_studio_ids_any,include_studios_any,exclude_studio_logic,exclude_studio_ids_any,exclude_studios_any,filter_expression,affinity_lift,rationale
110,Tyler Nixon: The Skip Intro Department,performer_spotlight,257,1.266,ALL,,,ANY,9320,JAV,ALL,154,Tyler Nixon,ANY,,,ANY,,,ANY,,,"NONE_TAGS(""JAV"") AND ALL_PERFORMERS(""Tyler Nixon"")",,Performer spotlight; 256 scenes under current production tag assignments. Branding is playful; filter columns define membership.
111,Ramon Nomar: No Meeting Could Replace This,performer_spotlight,249,1.227,ALL,,,ANY,9320,JAV,ALL,214,Ramon Nomar,ANY,,,ANY,,,ANY,,,"NONE_TAGS(""JAV"") AND ALL_PERFORMERS(""Ramon Nomar"")",,Performer spotlight; 249 scenes under current production tag assignments. Branding is playful; filter columns define membership.
112,Ryan Madison: The Unscheduled Special,performer_spotlight,243,1.197,ALL,,,ANY,9320,JAV,ALL,11,Ryan Madison,ANY,,,ANY,,,ANY,,,"NONE_TAGS(""JAV"") AND ALL_PERFORMERS(""Ryan Madison"")",,Performer spotlight; 243 scenes under current production tag assignments. Branding is playful; filter columns define membership.
113,Johnny Sins: Cancel Your Plans,performer_spotlight,234,1.153,ALL,,,ANY,9320,JAV,ALL,139,Johnny Sins,ANY,,,ANY,,,ANY,,,"NONE_TAGS(""JAV"") AND ALL_PERFORMERS(""Johnny Sins"")",,Performer spotlight; 234 scenes under current production tag assignments. Branding is playful; filter columns define membership.
114,Abella Danger: The Remote Majority,performer_spotlight,222,1.094,ALL,,,ANY,9320,JAV,ALL,169,Abella Danger,ANY,,,ANY,,,ANY,,,"NONE_TAGS(""JAV"") AND ALL_PERFORMERS(""Abella Danger"")",,Performer spotlight; 222 scenes under current production tag assignments. Branding is playful; filter columns define membership.
115,Christian Clay: Premium Procrastination,performer_spotlight,220,1.084,ALL,,,ANY,9320,JAV,ALL,470,Christian Clay,ANY,,,ANY,,,ANY,,,"NONE_TAGS(""JAV"") AND ALL_PERFORMERS(""Christian Clay"")",,Performer spotlight; 220 scenes under current production tag assignments. Branding is playful; filter columns define membership.
116,Tommy Pistol: Doing the Most,performer_spotlight,221,1.089,ALL,,,ANY,9320,JAV,ALL,61,Tommy Pistol,ANY,,,ANY,,,ANY,,,"NONE_TAGS(""JAV"") AND ALL_PERFORMERS(""Tommy Pistol"")",,Performer spotlight; 221 scenes under current production tag assignments. Branding is playful; filter columns define membership.
117,Chloe Temple: The Late Fee Channel,performer_spotlight,220,1.084,ALL,,,ANY,9320,JAV,ALL,811,Chloe Temple,ANY,,,ANY,,,ANY,,,"NONE_TAGS(""JAV"") AND ALL_PERFORMERS(""Chloe Temple"")",,Performer spotlight; 219 scenes under current production tag assignments. Branding is playful; filter columns define membership.
118,James Deen: Zero Inbox Energy,performer_spotlight,217,1.069,ALL,,,ANY,9320,JAV,ALL,373,James Deen,ANY,,,ANY,,,ANY,,,"NONE_TAGS(""JAV"") AND ALL_PERFORMERS(""James Deen"")",,Performer spotlight; 217 scenes under current production tag assignments. Branding is playful; filter columns define membership.
119,Seth Gamble: Please Remain Tuned,performer_spotlight,212,1.044,ALL,,,ANY,9320,JAV,ALL,146,Seth Gamble,ANY,,,ANY,,,ANY,,,"NONE_TAGS(""JAV"") AND ALL_PERFORMERS(""Seth Gamble"")",,Performer spotlight; 212 scenes under current production tag assignments. Branding is playful; filter columns define membership.
120,Alberto Blanco: The Extended Lunch Break,performer_spotlight,211,1.039,ALL,,,ANY,9320,JAV,ALL,4,Alberto Blanco,ANY,,,ANY,,,ANY,,,"NONE_TAGS(""JAV"") AND ALL_PERFORMERS(""Alberto Blanco"")",,Performer spotlight; 211 scenes under current production tag assignments. Branding is playful; filter columns define membership.
121,Kendra Lust: Not in the Employee Handbook,performer_spotlight,203,1.000,ALL,,,ANY,9320,JAV,ALL,574,Kendra Lust,ANY,,,ANY,,,ANY,,,"NONE_TAGS(""JAV"") AND ALL_PERFORMERS(""Kendra Lust"")",,Performer spotlight; 203 scenes under current production tag assignments. Branding is playful; filter columns define membership.
122,Nicole Aniston: Plot Armor Included,performer_spotlight,202,0.995,ALL,,,ANY,9320,JAV,ALL,68,Nicole Aniston,ANY,,,ANY,,,ANY,,,"NONE_TAGS(""JAV"") AND ALL_PERFORMERS(""Nicole Aniston"")",,Performer spotlight; 202 scenes under current production tag assignments. Branding is playful; filter columns define membership.
123,Bill Bailey: The Agenda Has Changed,performer_spotlight,197,0.970,ALL,,,ANY,9320,JAV,ALL,232,Bill Bailey,ANY,,,ANY,,,ANY,,,"NONE_TAGS(""JAV"") AND ALL_PERFORMERS(""Bill Bailey"")",,Performer spotlight; 197 scenes under current production tag assignments. Branding is playful; filter columns define membership.
124,Luna Star: One More Episode,performer_spotlight,194,0.956,ALL,,,ANY,9320,JAV,ALL,521,Luna Star,ANY,,,ANY,,,ANY,,,"NONE_TAGS(""JAV"") AND ALL_PERFORMERS(""Luna Star"")",,Performer spotlight; 194 scenes under current production tag assignments. Branding is playful; filter columns define membership.
125,Charles Dera: The Not-So-Silent Partner,performer_spotlight,191,0.941,ALL,,,ANY,9320,JAV,ALL,367,Charles Dera,ANY,,,ANY,,,ANY,,,"NONE_TAGS(""JAV"") AND ALL_PERFORMERS(""Charles Dera"")",,Performer spotlight; 191 scenes under current production tag assignments. Branding is playful; filter columns define membership.
126,Markus Dupree: After the Group Chat,performer_spotlight,187,0.921,ALL,,,ANY,9320,JAV,ALL,21,Markus Dupree,ANY,,,ANY,,,ANY,,,"NONE_TAGS(""JAV"") AND ALL_PERFORMERS(""Markus Dupree"")",,Performer spotlight; 187 scenes under current production tag assignments. Branding is playful; filter columns define membership.
127,J Mac: This Meeting Runs Late,performer_spotlight,184,0.906,ALL,,,ANY,9320,JAV,ALL,317,J Mac,ANY,,,ANY,,,ANY,,,"NONE_TAGS(""JAV"") AND ALL_PERFORMERS(""J Mac"")",,Performer spotlight; 184 scenes under current production tag assignments. Branding is playful; filter columns define membership.
128,Owen Gray: The Recommendation Engine,performer_spotlight,182,0.897,ALL,,,ANY,9320,JAV,ALL,1219,Owen Gray,ANY,,,ANY,,,ANY,,,"NONE_TAGS(""JAV"") AND ALL_PERFORMERS(""Owen Gray"")",,Performer spotlight; 182 scenes under current production tag assignments. Branding is playful; filter columns define membership.
129,Scott Nails: Airplane Mode Recommended,performer_spotlight,170,0.837,ALL,,,ANY,9320,JAV,ALL,480,Scott Nails,ANY,,,ANY,,,ANY,,,"NONE_TAGS(""JAV"") AND ALL_PERFORMERS(""Scott Nails"")",,Performer spotlight; 170 scenes under current production tag assignments. Branding is playful; filter columns define membership.
130,Steve Holmes: The Couch Has Questions,performer_spotlight,169,0.833,ALL,,,ANY,9320,JAV,ALL,186,Steve Holmes,ANY,,,ANY,,,ANY,,,"NONE_TAGS(""JAV"") AND ALL_PERFORMERS(""Steve Holmes"")",,Performer spotlight; 169 scenes under current production tag assignments. Branding is playful; filter columns define membership.
131,Romi Rain: Nothing on the Calendar,performer_spotlight,167,0.823,ALL,,,ANY,9320,JAV,ALL,124,Romi Rain,ANY,,,ANY,,,ANY,,,"NONE_TAGS(""JAV"") AND ALL_PERFORMERS(""Romi Rain"")",,Performer spotlight; 167 scenes under current production tag assignments. Branding is playful; filter columns define membership.
132,Isiah Maxwell: The Ratings Department,performer_spotlight,165,0.813,ALL,,,ANY,9320,JAV,ALL,228,Isiah Maxwell,ANY,,,ANY,,,ANY,,,"NONE_TAGS(""JAV"") AND ALL_PERFORMERS(""Isiah Maxwell"")",,Performer spotlight; 165 scenes under current production tag assignments. Branding is playful; filter columns define membership.
133,Marley Brinx: Full-Time Distraction,performer_spotlight,156,0.769,ALL,,,ANY,9320,JAV,ALL,656,Marley Brinx,ANY,,,ANY,,,ANY,,,"NONE_TAGS(""JAV"") AND ALL_PERFORMERS(""Marley Brinx"")",,Performer spotlight; 156 scenes under current production tag assignments. Branding is playful; filter columns define membership.
134,Oliver Flynn: Nobody Read the Memo,performer_spotlight,156,0.769,ALL,,,ANY,9320,JAV,ALL,10,Oliver Flynn,ANY,,,ANY,,,ANY,,,"NONE_TAGS(""JAV"") AND ALL_PERFORMERS(""Oliver Flynn"")",,Performer spotlight; 156 scenes under current production tag assignments. Branding is playful; filter columns define membership.
135,Derrick Pierce: The Opening Credits Club,performer_spotlight,155,0.764,ALL,,,ANY,9320,JAV,ALL,140,Derrick Pierce,ANY,,,ANY,,,ANY,,,"NONE_TAGS(""JAV"") AND ALL_PERFORMERS(""Derrick Pierce"")",,Performer spotlight; 155 scenes under current production tag assignments. Branding is playful; filter columns define membership.
136,Brandi Love Has the Remote,performer_spotlight,153,0.754,ALL,,,ANY,9320,JAV,ALL,255,Brandi Love,ANY,,,ANY,,,ANY,,,"NONE_TAGS(""JAV"") AND ALL_PERFORMERS(""Brandi Love"")",,Performer spotlight; 153 scenes under current production tag assignments. Branding is playful; filter columns define membership.
137,Gabbie Carter: HR Would Like a Word,performer_spotlight,151,0.744,ALL,,,ANY,9320,JAV,ALL,621,Gabbie Carter,ANY,,,ANY,,,ANY,,,"NONE_TAGS(""JAV"") AND ALL_PERFORMERS(""Gabbie Carter"")",,Performer spotlight; 151 scenes under current production tag assignments. Branding is playful; filter columns define membership.
138,Cory Chase vs. the Bedtime Schedule,performer_spotlight,147,0.724,ALL,,,ANY,9320,JAV,ALL,12,Cory Chase,ANY,,,ANY,,,ANY,,,"NONE_TAGS(""JAV"") AND ALL_PERFORMERS(""Cory Chase"")",,Performer spotlight; 147 scenes under current production tag assignments. Branding is playful; filter columns define membership.
139,Casey Calvert: The Plot Thickens,performer_spotlight,145,0.714,ALL,,,ANY,9320,JAV,ALL,256,Casey Calvert,ANY,,,ANY,,,ANY,,,"NONE_TAGS(""JAV"") AND ALL_PERFORMERS(""Casey Calvert"")",,Performer spotlight; 145 scenes under current production tag assignments. Branding is playful; filter columns define membership.
140,Rissa May & the Missing Script,performer_spotlight,144,0.709,ALL,,,ANY,9320,JAV,ALL,3532,Rissa May,ANY,,,ANY,,,ANY,,,"NONE_TAGS(""JAV"") AND ALL_PERFORMERS(""Rissa May"")",,Performer spotlight; 144 scenes under current production tag assignments. Branding is playful; filter columns define membership.
141,Danny D: Do Not Auto-Play at Work,performer_spotlight,142,0.700,ALL,,,ANY,9320,JAV,ALL,213,Danny D,ANY,,,ANY,,,ANY,,,"NONE_TAGS(""JAV"") AND ALL_PERFORMERS(""Danny D"")",,Performer spotlight; 142 scenes under current production tag assignments. Branding is playful; filter columns define membership.
142,Alexis Texas: Overtime Approved,performer_spotlight,141,0.695,ALL,,,ANY,9320,JAV,ALL,733,Alexis Texas,ANY,,,ANY,,,ANY,,,"NONE_TAGS(""JAV"") AND ALL_PERFORMERS(""Alexis Texas"")",,Performer spotlight; 141 scenes under current production tag assignments. Branding is playful; filter columns define membership.
143,Erik Everhard Presents: Questionable Decisions,performer_spotlight,139,0.685,ALL,,,ANY,9320,JAV,ALL,181,Erik Everhard,ANY,,,ANY,,,ANY,,,"NONE_TAGS(""JAV"") AND ALL_PERFORMERS(""Erik Everhard"")",,Performer spotlight; 139 scenes under current production tag assignments. Branding is playful; filter columns define membership.
144,Jules Jordan: Main Character Hours,performer_spotlight,139,0.685,ALL,,,ANY,9320,JAV,ALL,372,Jules Jordan,ANY,,,ANY,,,ANY,,,"NONE_TAGS(""JAV"") AND ALL_PERFORMERS(""Jules Jordan"")",,Performer spotlight; 139 scenes under current production tag assignments. Branding is playful; filter columns define membership.
145,Jessie Rogers: The Binge Committee,performer_spotlight,138,0.680,ALL,,,ANY,9320,JAV,ALL,848,Jessie Rogers,ANY,,,ANY,,,ANY,,,"NONE_TAGS(""JAV"") AND ALL_PERFORMERS(""Jessie Rogers"")",,Performer spotlight; 138 scenes under current production tag assignments. Branding is playful; filter columns define membership.
146,Brooklyn Chase: The Skip Intro Department,performer_spotlight,133,0.655,ALL,,,ANY,9320,JAV,ALL,81,Brooklyn Chase,ANY,,,ANY,,,ANY,,,"NONE_TAGS(""JAV"") AND ALL_PERFORMERS(""Brooklyn Chase"")",,Performer spotlight; 133 scenes under current production tag assignments. Branding is playful; filter columns define membership.
147,Dani Daniels: No Meeting Could Replace This,performer_spotlight,131,0.645,ALL,,,ANY,9320,JAV,ALL,56,Dani Daniels,ANY,,,ANY,,,ANY,,,"NONE_TAGS(""JAV"") AND ALL_PERFORMERS(""Dani Daniels"")",,Performer spotlight; 131 scenes under current production tag assignments. Branding is playful; filter columns define membership.
148,Kyle Mason: The Unscheduled Special,performer_spotlight,130,0.640,ALL,,,ANY,9320,JAV,ALL,19,Kyle Mason,ANY,,,ANY,,,ANY,,,"NONE_TAGS(""JAV"") AND ALL_PERFORMERS(""Kyle Mason"")",,Performer spotlight; 130 scenes under current production tag assignments. Branding is playful; filter columns define membership.
149,Stacy Cruz: Cancel Your Plans,performer_spotlight,131,0.645,ALL,,,ANY,9320,JAV,ALL,469,Stacy Cruz,ANY,,,ANY,,,ANY,,,"NONE_TAGS(""JAV"") AND ALL_PERFORMERS(""Stacy Cruz"")",,Performer spotlight; 130 scenes under current production tag assignments. Branding is playful; filter columns define membership.
150,Krissy Lynn: The Remote Majority,performer_spotlight,128,0.631,ALL,,,ANY,9320,JAV,ALL,510,Krissy Lynn,ANY,,,ANY,,,ANY,,,"NONE_TAGS(""JAV"") AND ALL_PERFORMERS(""Krissy Lynn"")",,Performer spotlight; 128 scenes under current production tag assignments. Branding is playful; filter columns define membership.
151,Vince Karter: Premium Procrastination,performer_spotlight,128,0.631,ALL,,,ANY,9320,JAV,ALL,801,Vince Karter,ANY,,,ANY,,,ANY,,,"NONE_TAGS(""JAV"") AND ALL_PERFORMERS(""Vince Karter"")",,Performer spotlight; 128 scenes under current production tag assignments. Branding is playful; filter columns define membership.
152,Ryan McLane: Doing the Most,performer_spotlight,127,0.626,ALL,,,ANY,9320,JAV,ALL,152,Ryan McLane,ANY,,,ANY,,,ANY,,,"NONE_TAGS(""JAV"") AND ALL_PERFORMERS(""Ryan McLane"")",,Performer spotlight; 127 scenes under current production tag assignments. Branding is playful; filter columns define membership.
153,Mia Malkova: The Late Fee Channel,performer_spotlight,124,0.611,ALL,,,ANY,9320,JAV,ALL,116,Mia Malkova,ANY,,,ANY,,,ANY,,,"NONE_TAGS(""JAV"") AND ALL_PERFORMERS(""Mia Malkova"")",,Performer spotlight; 125 scenes under current production tag assignments. Branding is playful; filter columns define membership.
154,Dillion Harper: Zero Inbox Energy,performer_spotlight,123,0.606,ALL,,,ANY,9320,JAV,ALL,566,Dillion Harper,ANY,,,ANY,,,ANY,,,"NONE_TAGS(""JAV"") AND ALL_PERFORMERS(""Dillion Harper"")",,Performer spotlight; 123 scenes under current production tag assignments. Branding is playful; filter columns define membership.
155,Van Wylde: Please Remain Tuned,performer_spotlight,122,0.601,ALL,,,ANY,9320,JAV,ALL,418,Van Wylde,ANY,,,ANY,,,ANY,,,"NONE_TAGS(""JAV"") AND ALL_PERFORMERS(""Van Wylde"")",,Performer spotlight; 122 scenes under current production tag assignments. Branding is playful; filter columns define membership.
156,Aria Alexander: The Extended Lunch Break,performer_spotlight,119,0.586,ALL,,,ANY,9320,JAV,ALL,889,Aria Alexander,ANY,,,ANY,,,ANY,,,"NONE_TAGS(""JAV"") AND ALL_PERFORMERS(""Aria Alexander"")",,Performer spotlight; 119 scenes under current production tag assignments. Branding is playful; filter columns define membership.
157,Allie Haze: Not in the Employee Handbook,performer_spotlight,117,0.576,ALL,,,ANY,9320,JAV,ALL,162,Allie Haze,ANY,,,ANY,,,ANY,,,"NONE_TAGS(""JAV"") AND ALL_PERFORMERS(""Allie Haze"")",,Performer spotlight; 117 scenes under current production tag assignments. Branding is playful; filter columns define membership.
158,Mr. Pete: Plot Armor Included,performer_spotlight,116,0.571,ALL,,,ANY,9320,JAV,ALL,182,Mr. Pete,ANY,,,ANY,,,ANY,,,"NONE_TAGS(""JAV"") AND ALL_PERFORMERS(""Mr. Pete"")",,Performer spotlight; 116 scenes under current production tag assignments. Branding is playful; filter columns define membership.
159,Codey Steele: The Agenda Has Changed,performer_spotlight,115,0.567,ALL,,,ANY,9320,JAV,ALL,2,Codey Steele,ANY,,,ANY,,,ANY,,,"NONE_TAGS(""JAV"") AND ALL_PERFORMERS(""Codey Steele"")",,Performer spotlight; 115 scenes under current production tag assignments. Branding is playful; filter columns define membership.
160,Penny Barber: One More Episode,performer_spotlight,114,0.562,ALL,,,ANY,9320,JAV,ALL,996,Penny Barber,ANY,,,ANY,,,ANY,,,"NONE_TAGS(""JAV"") AND ALL_PERFORMERS(""Penny Barber"")",,Performer spotlight; 114 scenes under current production tag assignments. Branding is playful; filter columns define membership.
161,Asa Akira: The Not-So-Silent Partner,performer_spotlight,110,0.542,ALL,,,ANY,9320,JAV,ALL,887,Asa Akira,ANY,,,ANY,,,ANY,,,"NONE_TAGS(""JAV"") AND ALL_PERFORMERS(""Asa Akira"")",,Performer spotlight; 110 scenes under current production tag assignments. Branding is playful; filter columns define membership.
162,Ryan Driller: After the Group Chat,performer_spotlight,109,0.537,ALL,,,ANY,9320,JAV,ALL,153,Ryan Driller,ANY,,,ANY,,,ANY,,,"NONE_TAGS(""JAV"") AND ALL_PERFORMERS(""Ryan Driller"")",,Performer spotlight; 109 scenes under current production tag assignments. Branding is playful; filter columns define membership.
163,Chris Strokes: This Meeting Runs Late,performer_spotlight,108,0.532,ALL,,,ANY,9320,JAV,ALL,234,Chris Strokes,ANY,,,ANY,,,ANY,,,"NONE_TAGS(""JAV"") AND ALL_PERFORMERS(""Chris Strokes"")",,Performer spotlight; 108 scenes under current production tag assignments. Branding is playful; filter columns define membership.
164,The Pope: The Recommendation Engine,performer_spotlight,108,0.532,ALL,,,ANY,9320,JAV,ALL,3152,The Pope,ANY,,,ANY,,,ANY,,,"NONE_TAGS(""JAV"") AND ALL_PERFORMERS(""The Pope"")",,Performer spotlight; 108 scenes under current production tag assignments. Branding is playful; filter columns define membership.
165,Michael Vegas: Airplane Mode Recommended,performer_spotlight,105,0.517,ALL,,,ANY,9320,JAV,ALL,190,Michael Vegas,ANY,,,ANY,,,ANY,,,"NONE_TAGS(""JAV"") AND ALL_PERFORMERS(""Michael Vegas"")",,Performer spotlight; 105 scenes under current production tag assignments. Branding is playful; filter columns define membership.
166,Chad White: The Couch Has Questions,performer_spotlight,103,0.507,ALL,,,ANY,9320,JAV,ALL,159,Chad White,ANY,,,ANY,,,ANY,,,"NONE_TAGS(""JAV"") AND ALL_PERFORMERS(""Chad White"")",,Performer spotlight; 103 scenes under current production tag assignments. Branding is playful; filter columns define membership.
167,April Olsen: Nothing on the Calendar,performer_spotlight,102,0.502,ALL,,,ANY,9320,JAV,ALL,998,April Olsen,ANY,,,ANY,,,ANY,,,"NONE_TAGS(""JAV"") AND ALL_PERFORMERS(""April Olsen"")",,Performer spotlight; 102 scenes under current production tag assignments. Branding is playful; filter columns define membership.
168,Small Hands: The Ratings Department,performer_spotlight,100,0.493,ALL,,,ANY,9320,JAV,ALL,158,Small Hands,ANY,,,ANY,,,ANY,,,"NONE_TAGS(""JAV"") AND ALL_PERFORMERS(""Small Hands"")",,Performer spotlight; 100 scenes under current production tag assignments. Branding is playful; filter columns define membership.
169,Rebel Lynn: Full-Time Distraction,performer_spotlight,99,0.488,ALL,,,ANY,9320,JAV,ALL,803,Rebel Lynn,ANY,,,ANY,,,ANY,,,"NONE_TAGS(""JAV"") AND ALL_PERFORMERS(""Rebel Lynn"")",,Performer spotlight; 99 scenes under current production tag assignments. Branding is playful; filter columns define membership.
170,Tommy Gunn: Nobody Read the Memo,performer_spotlight,98,0.483,ALL,,,ANY,9320,JAV,ALL,191,Tommy Gunn,ANY,,,ANY,,,ANY,,,"NONE_TAGS(""JAV"") AND ALL_PERFORMERS(""Tommy Gunn"")",,Performer spotlight; 98 scenes under current production tag assignments. Branding is playful; filter columns define membership.
171,Mickey Mod: The Opening Credits Club,performer_spotlight,97,0.478,ALL,,,ANY,9320,JAV,ALL,1057,Mickey Mod,ANY,,,ANY,,,ANY,,,"NONE_TAGS(""JAV"") AND ALL_PERFORMERS(""Mickey Mod"")",,Performer spotlight; 97 scenes under current production tag assignments. Branding is playful; filter columns define membership.
172,Jay Romero Has the Remote,performer_spotlight,96,0.473,ALL,,,ANY,9320,JAV,ALL,764,Jay Romero,ANY,,,ANY,,,ANY,,,"NONE_TAGS(""JAV"") AND ALL_PERFORMERS(""Jay Romero"")",,Performer spotlight; 96 scenes under current production tag assignments. Branding is playful; filter columns define membership.
173,Jordan Ash: HR Would Like a Word,performer_spotlight,94,0.463,ALL,,,ANY,9320,JAV,ALL,223,Jordan Ash,ANY,,,ANY,,,ANY,,,"NONE_TAGS(""JAV"") AND ALL_PERFORMERS(""Jordan Ash"")",,Performer spotlight; 94 scenes under current production tag assignments. Branding is playful; filter columns define membership.
174,Alexa Grace vs. the Bedtime Schedule,performer_spotlight,93,0.458,ALL,,,ANY,9320,JAV,ALL,1021,Alexa Grace,ANY,,,ANY,,,ANY,,,"NONE_TAGS(""JAV"") AND ALL_PERFORMERS(""Alexa Grace"")",,Performer spotlight; 93 scenes under current production tag assignments. Branding is playful; filter columns define membership.
175,Ariana Marie: The Plot Thickens,performer_spotlight,93,0.458,ALL,,,ANY,9320,JAV,ALL,67,Ariana Marie,ANY,,,ANY,,,ANY,,,"NONE_TAGS(""JAV"") AND ALL_PERFORMERS(""Ariana Marie"")",,Performer spotlight; 93 scenes under current production tag assignments. Branding is playful; filter columns define membership.
176,Bridgette B & the Missing Script,performer_spotlight,93,0.458,ALL,,,ANY,9320,JAV,ALL,474,Bridgette B,ANY,,,ANY,,,ANY,,,"NONE_TAGS(""JAV"") AND ALL_PERFORMERS(""Bridgette B"")",,Performer spotlight; 93 scenes under current production tag assignments. Branding is playful; filter columns define membership.
177,Abigail Mac: Do Not Auto-Play at Work,performer_spotlight,92,0.453,ALL,,,ANY,9320,JAV,ALL,47,Abigail Mac,ANY,,,ANY,,,ANY,,,"NONE_TAGS(""JAV"") AND ALL_PERFORMERS(""Abigail Mac"")",,Performer spotlight; 92 scenes under current production tag assignments. Branding is playful; filter columns define membership.
178,Lucas Frost: Overtime Approved,performer_spotlight,92,0.453,ALL,,,ANY,9320,JAV,ALL,262,Lucas Frost,ANY,,,ANY,,,ANY,,,"NONE_TAGS(""JAV"") AND ALL_PERFORMERS(""Lucas Frost"")",,Performer spotlight; 92 scenes under current production tag assignments. Branding is playful; filter columns define membership.
179,Bonnie Rotten Presents: Questionable Decisions,performer_spotlight,91,0.448,ALL,,,ANY,9320,JAV,ALL,401,Bonnie Rotten,ANY,,,ANY,,,ANY,,,"NONE_TAGS(""JAV"") AND ALL_PERFORMERS(""Bonnie Rotten"")",,Performer spotlight; 91 scenes under current production tag assignments. Branding is playful; filter columns define membership.
180,Jean Val Jean: Main Character Hours,performer_spotlight,91,0.448,ALL,,,ANY,9320,JAV,ALL,894,Jean Val Jean,ANY,,,ANY,,,ANY,,,"NONE_TAGS(""JAV"") AND ALL_PERFORMERS(""Jean Val Jean"")",,Performer spotlight; 91 scenes under current production tag assignments. Branding is playful; filter columns define membership.
181,Jennifer Mendez: The Binge Committee,performer_spotlight,91,0.448,ALL,,,ANY,9320,JAV,ALL,3016,Jennifer Mendez,ANY,,,ANY,,,ANY,,,"NONE_TAGS(""JAV"") AND ALL_PERFORMERS(""Jennifer Mendez"")",,Performer spotlight; 91 scenes under current production tag assignments. Branding is playful; filter columns define membership.
182,John Strong: The Skip Intro Department,performer_spotlight,92,0.453,ALL,,,ANY,9320,JAV,ALL,20,John Strong,ANY,,,ANY,,,ANY,,,"NONE_TAGS(""JAV"") AND ALL_PERFORMERS(""John Strong"")",,Performer spotlight; 92 scenes under current production tag assignments. Branding is playful; filter columns define membership.
